runid,topic,compatibility
IELAB01_ori_q,1,4.514355624960751e-12
IELAB01_ori_q,5,0.15462490595616551
IELAB01_ori_q,8,0.061883484212901865
IELAB01_ori_q,11,0.08248331784831661
IELAB01_ori_q,12,0.16403667813281786
IELAB01_ori_q,16,1.7179887616363842e-07
IELAB01_ori_q,19,0.18157288935561938
IELAB01_ori_q,20,2.394701960056407e-07
IELAB01_ori_q,27,0.532251258775664
IELAB01_ori_q,28,0.4759290072060426
IELAB01_ori_q,29,0.37876934693946296
IELAB01_ori_q,33,1.3635323348319358e-05
IELAB01_ori_q,34,0.00262459487407494
IELAB01_ori_q,36,0.15306500367662815
IELAB01_ori_q,37,0.05684855823051635
IELAB01_ori_q,39,0.24261194532402866
IELAB01_ori_q,40,0.05766249899386775
IELAB01_ori_q,41,0.13273316358021553
IELAB01_ori_q,42,0.0
IELAB01_ori_q,45,0.14570546292292344
IELAB01_ori_q,49,0.029561329777025008
IELAB01_ori_q,50,0.09451528541428966
IELAB01_ori_q,average,0.13394967171897704
