runid,topic,compatibility
IELAB01_ori_q,1,0.1363499910519297
IELAB01_ori_q,3,0.3212392750701232
IELAB01_ori_q,5,0.33152833075266247
IELAB01_ori_q,6,0.27374134884568646
IELAB01_ori_q,7,0.06984625646931049
IELAB01_ori_q,8,0.017632038452269776
IELAB01_ori_q,11,0.06951894941357666
IELAB01_ori_q,12,0.041667954772149365
IELAB01_ori_q,13,0.11515219945544991
IELAB01_ori_q,16,0.15833910943774543
IELAB01_ori_q,17,0.25938820915374994
IELAB01_ori_q,18,0.02915275211354152
IELAB01_ori_q,19,0.14694702558213335
IELAB01_ori_q,20,0.48677259395861355
IELAB01_ori_q,27,0.06719506933334247
IELAB01_ori_q,28,0.12273554727512194
IELAB01_ori_q,29,0.17539517977022762
IELAB01_ori_q,32,0.1529581125360048
IELAB01_ori_q,33,0.11415149280450539
IELAB01_ori_q,34,0.12231397365545921
IELAB01_ori_q,36,0.1695756862689366
IELAB01_ori_q,37,0.15594966063667054
IELAB01_ori_q,38,0.10794399467262211
IELAB01_ori_q,39,0.33883659171147357
IELAB01_ori_q,40,0.1956114533686553
IELAB01_ori_q,41,0.15572517063730437
IELAB01_ori_q,42,0.15381167983005303
IELAB01_ori_q,44,0.1287918806358597
IELAB01_ori_q,45,0.18339479228493472
IELAB01_ori_q,47,0.06650914591052386
IELAB01_ori_q,49,0.17454014080281885
IELAB01_ori_q,50,0.07609823065581217
IELAB01_ori_q,51,0.15789663547305444
IELAB01_ori_q,average,0.15990031735734309
