runid,topic,compatibility
IELAB02_ori_d,1,3.2538118224026854e-05
IELAB02_ori_d,5,0.04002238114835174
IELAB02_ori_d,8,0.17693042372265386
IELAB02_ori_d,11,0.024867117049777225
IELAB02_ori_d,12,0.2553864211079746
IELAB02_ori_d,16,0.6828822093394317
IELAB02_ori_d,19,0.07941087995010684
IELAB02_ori_d,20,0.012753733538617642
IELAB02_ori_d,27,0.022549989483527648
IELAB02_ori_d,28,0.40694405621435004
IELAB02_ori_d,29,0.3811082521165932
IELAB02_ori_d,33,9.372334497224848e-06
IELAB02_ori_d,34,0.1292699905048044
IELAB02_ori_d,36,0.10114684182156526
IELAB02_ori_d,37,1.0037324354706074e-17
IELAB02_ori_d,39,0.15268944242739083
IELAB02_ori_d,40,0.009295271394720727
IELAB02_ori_d,41,0.025429365110080978
IELAB02_ori_d,42,0.0
IELAB02_ori_d,45,7.65680198269405e-22
IELAB02_ori_d,49,0.020749909878680566
IELAB02_ori_d,50,0.18089825962572678
IELAB02_ori_d,average,0.12283529340395796
