runid,topic,compatibility
IELAB05_xChv_q,1,0.09006766075391699
IELAB05_xChv_q,3,0.200153723039135
IELAB05_xChv_q,5,0.1302368254093489
IELAB05_xChv_q,6,0.26530453929355857
IELAB05_xChv_q,7,0.14321766599336638
IELAB05_xChv_q,8,0.007266090515645472
IELAB05_xChv_q,11,0.05403253408728085
IELAB05_xChv_q,12,0.07383735932459787
IELAB05_xChv_q,13,0.08143826089600895
IELAB05_xChv_q,16,0.16444420773690704
IELAB05_xChv_q,17,0.16924238602521094
IELAB05_xChv_q,18,0.0034910537727571235
IELAB05_xChv_q,19,0.10497413406706686
IELAB05_xChv_q,20,0.1339555343621353
IELAB05_xChv_q,27,0.3172205558141975
IELAB05_xChv_q,28,0.12080805000126044
IELAB05_xChv_q,29,0.17539517977022762
IELAB05_xChv_q,32,0.17221604342004068
IELAB05_xChv_q,33,0.11415149280450539
IELAB05_xChv_q,34,0.09923900180641299
IELAB05_xChv_q,36,0.20763921821467787
IELAB05_xChv_q,37,0.15594966063667054
IELAB05_xChv_q,38,0.09136199100747963
IELAB05_xChv_q,39,0.028327239755308195
IELAB05_xChv_q,40,0.06538658289417587
IELAB05_xChv_q,41,0.10414652632355417
IELAB05_xChv_q,42,0.15381167983005303
IELAB05_xChv_q,44,0.1287918806358597
IELAB05_xChv_q,45,0.048832566417925466
IELAB05_xChv_q,47,0.06650914591052386
IELAB05_xChv_q,49,0.17454014080281885
IELAB05_xChv_q,50,0.052591593636628436
IELAB05_xChv_q,51,0.15789663547305444
IELAB05_xChv_q,average,0.12292355031613061
