runid,topic,compatibility
IELAB09_xCW_q,1,3.579730372232387e-08
IELAB09_xCW_q,5,0.16537539571822774
IELAB09_xCW_q,8,0.05496632463567837
IELAB09_xCW_q,11,0.10483698895787522
IELAB09_xCW_q,12,0.13838499802749438
IELAB09_xCW_q,16,0.004644996485859393
IELAB09_xCW_q,19,0.21220575197686556
IELAB09_xCW_q,20,3.427508880078981e-05
IELAB09_xCW_q,27,0.3688794403100421
IELAB09_xCW_q,28,0.4411837939980209
IELAB09_xCW_q,29,0.37876934693946296
IELAB09_xCW_q,33,1.3635323348319358e-05
IELAB09_xCW_q,34,0.025074433537768198
IELAB09_xCW_q,36,0.21095829704229965
IELAB09_xCW_q,37,0.05684855823051635
IELAB09_xCW_q,39,0.1595526967649013
IELAB09_xCW_q,40,0.0
IELAB09_xCW_q,41,0.2805867414693381
IELAB09_xCW_q,42,0.0
IELAB09_xCW_q,45,0.05784311913414654
IELAB09_xCW_q,49,0.029561329777025008
IELAB09_xCW_q,50,0.10304258759639515
IELAB09_xCW_q,average,0.12694376121869866
