runid,topic,compatibility
UWatMDSBM25_HC1,1,0.6058076935324813
UWatMDSBM25_HC1,5,0.1776491286426083
UWatMDSBM25_HC1,8,0.16211849962914052
UWatMDSBM25_HC1,11,0.15485310856764414
UWatMDSBM25_HC1,12,0.23528679862356297
UWatMDSBM25_HC1,16,0.0
UWatMDSBM25_HC1,19,0.06427398195899366
UWatMDSBM25_HC1,20,0.009043703438124584
UWatMDSBM25_HC1,27,0.1265046796966906
UWatMDSBM25_HC1,28,0.23172092432761193
UWatMDSBM25_HC1,29,0.2944872890619637
UWatMDSBM25_HC1,33,0.047851459555797914
UWatMDSBM25_HC1,34,0.06277972769646961
UWatMDSBM25_HC1,36,0.23576941544630373
UWatMDSBM25_HC1,37,0.11537831497770706
UWatMDSBM25_HC1,39,0.11337113202173946
UWatMDSBM25_HC1,40,0.3429813704217428
UWatMDSBM25_HC1,41,0.1493570171277111
UWatMDSBM25_HC1,42,0.032732538949323244
UWatMDSBM25_HC1,45,0.06480786181791996
UWatMDSBM25_HC1,49,0.25441526815242205
UWatMDSBM25_HC1,50,0.06341498743747234
UWatMDSBM25_HC1,average,0.16111840459470142
