runid,topic,compatibility
UWatMDSBM25_HC3,1,0.10105408907768547
UWatMDSBM25_HC3,3,0.31030455825863085
UWatMDSBM25_HC3,5,0.3368594205648327
UWatMDSBM25_HC3,6,0.17800449138355323
UWatMDSBM25_HC3,7,0.2110087715989333
UWatMDSBM25_HC3,8,0.12339674196461717
UWatMDSBM25_HC3,11,0.0477486663147755
UWatMDSBM25_HC3,12,0.3292688211118104
UWatMDSBM25_HC3,13,0.27263409250263637
UWatMDSBM25_HC3,16,0.11057284706324289
UWatMDSBM25_HC3,17,0.11074590912162578
UWatMDSBM25_HC3,18,0.023843632089459426
UWatMDSBM25_HC3,19,0.19582246710546494
UWatMDSBM25_HC3,20,0.029884495385992593
UWatMDSBM25_HC3,27,0.0
UWatMDSBM25_HC3,28,0.22676257283368445
UWatMDSBM25_HC3,29,0.0786079596163399
UWatMDSBM25_HC3,32,0.10363533203640223
UWatMDSBM25_HC3,33,0.011603787777299798
UWatMDSBM25_HC3,34,0.230991053354164
UWatMDSBM25_HC3,36,0.11620502655273353
UWatMDSBM25_HC3,37,0.0763273465092468
UWatMDSBM25_HC3,38,0.20865203522860398
UWatMDSBM25_HC3,39,0.09920177617746782
UWatMDSBM25_HC3,40,0.20862662987526673
UWatMDSBM25_HC3,41,0.15117117114761086
UWatMDSBM25_HC3,42,0.239080825067393
UWatMDSBM25_HC3,44,0.1812358236505392
UWatMDSBM25_HC3,45,0.2688326321641636
UWatMDSBM25_HC3,47,0.34569009108843257
UWatMDSBM25_HC3,49,0.27102762934444674
UWatMDSBM25_HC3,50,0.11412217048972434
UWatMDSBM25_HC3,51,0.11652135555579853
UWatMDSBM25_HC3,average,0.16452861278825995
