runid,topic,compatibility
UWatMDS_BM25_Z,1,0.0006412465635041634
UWatMDS_BM25_Z,5,0.09283737209423265
UWatMDS_BM25_Z,8,0.17779024609757665
UWatMDS_BM25_Z,11,0.0055885106802604535
UWatMDS_BM25_Z,12,0.14431120096866018
UWatMDS_BM25_Z,16,0.0
UWatMDS_BM25_Z,19,0.1153196697791618
UWatMDS_BM25_Z,20,0.0005500950300440021
UWatMDS_BM25_Z,27,0.21534051046429792
UWatMDS_BM25_Z,28,0.23891704066016078
UWatMDS_BM25_Z,29,0.34146312668319523
UWatMDS_BM25_Z,33,5.2609739928815766e-05
UWatMDS_BM25_Z,34,0.04032890249626626
UWatMDS_BM25_Z,36,0.06955706192978224
UWatMDS_BM25_Z,37,0.019373231473000713
UWatMDS_BM25_Z,39,0.11279163257552524
UWatMDS_BM25_Z,40,0.2595189522535875
UWatMDS_BM25_Z,41,0.07614054210730982
UWatMDS_BM25_Z,42,0.6828822093394317
UWatMDS_BM25_Z,45,0.014947198578580682
UWatMDS_BM25_Z,49,0.06513719833810319
UWatMDS_BM25_Z,50,0.018517814429534648
UWatMDS_BM25_Z,average,0.12236392601282474
