runid,topic,compatibility
UWatMDS_BM25_Z,1,0.11210531339242864
UWatMDS_BM25_Z,3,0.09118916144671803
UWatMDS_BM25_Z,5,0.0348219555181509
UWatMDS_BM25_Z,6,0.23476156994425082
UWatMDS_BM25_Z,7,0.3959101921648586
UWatMDS_BM25_Z,8,0.10308996708448732
UWatMDS_BM25_Z,11,0.004694644816840526
UWatMDS_BM25_Z,12,0.19466870255472588
UWatMDS_BM25_Z,13,0.2969759441198176
UWatMDS_BM25_Z,16,0.11207978177378282
UWatMDS_BM25_Z,17,0.0007400104287509657
UWatMDS_BM25_Z,18,0.009429781246896262
UWatMDS_BM25_Z,19,0.16014810047551473
UWatMDS_BM25_Z,20,0.210231643632085
UWatMDS_BM25_Z,27,0.00022336222591057853
UWatMDS_BM25_Z,28,0.24979740430194114
UWatMDS_BM25_Z,29,0.06538435235205298
UWatMDS_BM25_Z,32,0.20359810041002058
UWatMDS_BM25_Z,33,0.02736835834414659
UWatMDS_BM25_Z,34,0.09250249291459597
UWatMDS_BM25_Z,36,0.1758868428729295
UWatMDS_BM25_Z,37,0.1883103158236581
UWatMDS_BM25_Z,38,0.10970858755536725
UWatMDS_BM25_Z,39,0.09910229075156374
UWatMDS_BM25_Z,40,0.13991861776563377
UWatMDS_BM25_Z,41,0.028899334702301056
UWatMDS_BM25_Z,42,0.2690629473171218
UWatMDS_BM25_Z,44,0.06594869841731786
UWatMDS_BM25_Z,45,0.031960367350103415
UWatMDS_BM25_Z,47,0.15186830436750215
UWatMDS_BM25_Z,49,0.06305623447342078
UWatMDS_BM25_Z,50,0.054340499300554124
UWatMDS_BM25_Z,51,0.20932408340540654
UWatMDS_BM25_Z,average,0.12688205949245018
