runid,topic,compatibility
UWatMDS_BMF_C90,1,0.006598364310654093
UWatMDS_BMF_C90,5,0.09162000132513505
UWatMDS_BMF_C90,8,0.18628882658733809
UWatMDS_BMF_C90,11,0.02590132627391021
UWatMDS_BMF_C90,12,0.22297153304119768
UWatMDS_BMF_C90,16,0.0
UWatMDS_BMF_C90,19,0.04336578369952978
UWatMDS_BMF_C90,20,0.0
UWatMDS_BMF_C90,27,0.0
UWatMDS_BMF_C90,28,0.16845195075297345
UWatMDS_BMF_C90,29,0.2250161907418697
UWatMDS_BMF_C90,33,0.0
UWatMDS_BMF_C90,34,0.008368000926546684
UWatMDS_BMF_C90,36,0.10876169930563429
UWatMDS_BMF_C90,37,0.00414946835661592
UWatMDS_BMF_C90,39,0.08049605777189628
UWatMDS_BMF_C90,40,0.20069918710511248
UWatMDS_BMF_C90,41,0.0023353055339138625
UWatMDS_BMF_C90,42,0.6828822093394317
UWatMDS_BMF_C90,45,0.0
UWatMDS_BMF_C90,49,0.06977512608486015
UWatMDS_BMF_C90,50,0.012278015906958381
UWatMDS_BMF_C90,average,0.09727086577561718
