runid,topic,compatibility
UWatMDS_BMF_C95,1,0.1074151471949283
UWatMDS_BMF_C95,3,0.0
UWatMDS_BMF_C95,5,0.0
UWatMDS_BMF_C95,6,0.3090741385317464
UWatMDS_BMF_C95,7,0.38348561240993545
UWatMDS_BMF_C95,8,0.10947606404702165
UWatMDS_BMF_C95,11,0.03603104079006384
UWatMDS_BMF_C95,12,0.15234747619657638
UWatMDS_BMF_C95,13,0.2241893532866467
UWatMDS_BMF_C95,16,0.07651426172802034
UWatMDS_BMF_C95,17,0.007256886302270306
UWatMDS_BMF_C95,18,0.05190714260797613
UWatMDS_BMF_C95,19,0.22876546932671973
UWatMDS_BMF_C95,20,0.42853130664163547
UWatMDS_BMF_C95,27,3.427508880078981e-05
UWatMDS_BMF_C95,28,0.4170447854885648
UWatMDS_BMF_C95,29,0.06510214394226112
UWatMDS_BMF_C95,32,0.13078328866049133
UWatMDS_BMF_C95,33,0.07267030576377866
UWatMDS_BMF_C95,34,0.12317124396204264
UWatMDS_BMF_C95,36,0.2032733458204759
UWatMDS_BMF_C95,37,0.34478056875824725
UWatMDS_BMF_C95,38,0.13534336673867806
UWatMDS_BMF_C95,39,0.13097162715209965
UWatMDS_BMF_C95,40,0.13608971941741385
UWatMDS_BMF_C95,41,0.0007189686773504643
UWatMDS_BMF_C95,42,0.27375887628098217
UWatMDS_BMF_C95,44,0.08551732344316527
UWatMDS_BMF_C95,45,0.0
UWatMDS_BMF_C95,47,0.0
UWatMDS_BMF_C95,49,0.10678997593032269
UWatMDS_BMF_C95,50,0.037482904885618465
UWatMDS_BMF_C95,51,0.09616793527857236
UWatMDS_BMF_C95,average,0.1355968046773456
