runid,topic,compatibility
UWatMDS_BMF_S30,1,0.11582333821124324
UWatMDS_BMF_S30,3,0.1125103098513413
UWatMDS_BMF_S30,5,0.2871015622212111
UWatMDS_BMF_S30,6,0.17635150134822536
UWatMDS_BMF_S30,7,0.3155909900882132
UWatMDS_BMF_S30,8,0.017625137208319337
UWatMDS_BMF_S30,11,0.13722368073058153
UWatMDS_BMF_S30,12,0.10279273893667684
UWatMDS_BMF_S30,13,0.2109693611588235
UWatMDS_BMF_S30,16,0.32540085666608815
UWatMDS_BMF_S30,17,0.01064621913274935
UWatMDS_BMF_S30,18,0.04632667136468592
UWatMDS_BMF_S30,19,0.14003509896396701
UWatMDS_BMF_S30,20,0.39823069922260684
UWatMDS_BMF_S30,27,0.0
UWatMDS_BMF_S30,28,0.3706495742520758
UWatMDS_BMF_S30,29,0.10261862509590146
UWatMDS_BMF_S30,32,0.08934473322129788
UWatMDS_BMF_S30,33,0.02437749291867896
UWatMDS_BMF_S30,34,0.1056786675151283
UWatMDS_BMF_S30,36,0.1704775256117646
UWatMDS_BMF_S30,37,0.07376864588368566
UWatMDS_BMF_S30,38,0.07294782658869693
UWatMDS_BMF_S30,39,0.13065945921504704
UWatMDS_BMF_S30,40,0.13066434979708538
UWatMDS_BMF_S30,41,0.07500083613769715
UWatMDS_BMF_S30,42,0.22121107352520117
UWatMDS_BMF_S30,44,0.1399072777439466
UWatMDS_BMF_S30,45,0.11490589530969714
UWatMDS_BMF_S30,47,0.18449739134962662
UWatMDS_BMF_S30,49,0.12792166622846857
UWatMDS_BMF_S30,50,0.056740871371425715
UWatMDS_BMF_S30,51,0.06996764034863526
UWatMDS_BMF_S30,average,0.141150536885418
