runid,topic,compatibility
UWaterMDS_BM25,1,0.0559651321855965
UWaterMDS_BM25,3,0.0958109377157053
UWaterMDS_BM25,5,0.37338147950084466
UWaterMDS_BM25,6,0.23172028706461215
UWaterMDS_BM25,7,0.30412771340213635
UWaterMDS_BM25,8,0.023224912059881676
UWaterMDS_BM25,11,0.0029058092952846766
UWaterMDS_BM25,12,0.1021470517750385
UWaterMDS_BM25,13,0.1997885873493441
UWaterMDS_BM25,16,0.3293549804694328
UWaterMDS_BM25,17,0.15378201143848597
UWaterMDS_BM25,18,0.02013611020986381
UWaterMDS_BM25,19,0.1383347861179956
UWaterMDS_BM25,20,0.3806616792118823
UWaterMDS_BM25,27,7.105758945255297e-08
UWaterMDS_BM25,28,0.36801813181063764
UWaterMDS_BM25,29,0.08988187557538066
UWaterMDS_BM25,32,0.08992689063170714
UWaterMDS_BM25,33,0.023999100593380552
UWaterMDS_BM25,34,0.0883497837227154
UWaterMDS_BM25,36,0.1585424271404744
UWaterMDS_BM25,37,0.17861208337684387
UWaterMDS_BM25,38,0.09316469639296451
UWaterMDS_BM25,39,0.3516344588085722
UWaterMDS_BM25,40,0.24712690137596952
UWaterMDS_BM25,41,0.04969296369554639
UWaterMDS_BM25,42,0.2244889231749371
UWaterMDS_BM25,44,0.18900017115312995
UWaterMDS_BM25,45,0.0685276605718835
UWaterMDS_BM25,47,0.21094091318233282
UWaterMDS_BM25,49,0.10425790341863309
UWaterMDS_BM25,50,0.09016330812129042
UWaterMDS_BM25,51,0.03583482967545547
UWaterMDS_BM25,average,0.15374256276592577
