runid,topic,compatibility
webisMAll1,1,0.0
webisMAll1,5,0.052173198600459395
webisMAll1,8,0.051408431497824224
webisMAll1,11,0.0961797351034256
webisMAll1,12,0.24321704859742113
webisMAll1,16,7.66788122315953e-10
webisMAll1,19,0.1197145230198369
webisMAll1,20,0.0
webisMAll1,27,5.449028133792783e-05
webisMAll1,28,0.2920056033666287
webisMAll1,29,0.27888587991033137
webisMAll1,33,0.00027230766001796287
webisMAll1,34,0.0026685779839043917
webisMAll1,36,0.09952384543661036
webisMAll1,37,0.015407678952193535
webisMAll1,39,0.06781352668448067
webisMAll1,40,0.0004253717063324443
webisMAll1,41,0.02270288059288908
webisMAll1,42,0.0033571701922778287
webisMAll1,45,3.448365308093742e-05
webisMAll1,49,0.20500377972633904
webisMAll1,50,0.10769571519195686
webisMAll1,average,0.07538837495109713
