runid,topic,compatibility
webisMAll1,1,0.0939204770158836
webisMAll1,3,0.01355307473059258
webisMAll1,5,0.00020751939497691188
webisMAll1,6,0.008909882301695735
webisMAll1,7,0.14320753277873927
webisMAll1,8,0.062247221266111444
webisMAll1,11,0.11794238310053146
webisMAll1,12,0.06685761123643486
webisMAll1,13,0.08881602691647619
webisMAll1,16,0.02754147394535229
webisMAll1,17,0.0008664138461009971
webisMAll1,18,1.1821825043612547e-05
webisMAll1,19,0.05081792300463821
webisMAll1,20,0.2509221944661748
webisMAll1,27,7.695743122655595e-07
webisMAll1,28,0.20352610181506792
webisMAll1,29,0.11646661912105759
webisMAll1,32,0.10943035687546174
webisMAll1,33,0.021873284838093688
webisMAll1,34,0.0787546096636372
webisMAll1,36,0.07658135848663739
webisMAll1,37,0.06258920668589335
webisMAll1,38,0.03295705165955138
webisMAll1,39,0.006690362891607558
webisMAll1,40,0.147510906579977
webisMAll1,41,0.021917771890029455
webisMAll1,42,0.1996066098518937
webisMAll1,44,0.01039030938248023
webisMAll1,45,0.00014831228896407
webisMAll1,47,0.00024084136092518516
webisMAll1,49,0.0006030446821619224
webisMAll1,50,0.2285075506553091
webisMAll1,51,0.16767913102929968
webisMAll1,average,0.07306956833821551
