runid,topic,compatibility
webisMMajority1,1,0.0
webisMMajority1,5,0.05983255352699257
webisMMajority1,8,0.05115241606232464
webisMMajority1,11,0.06845792136472939
webisMMajority1,12,0.23922028858240202
webisMMajority1,16,7.66788122315953e-10
webisMMajority1,19,0.11934162491723352
webisMMajority1,20,0.0
webisMMajority1,27,5.449028133792783e-05
webisMMajority1,28,0.28527846254597405
webisMMajority1,29,0.30697565574772334
webisMMajority1,33,0.00027230766001796287
webisMMajority1,34,0.0026685779839043917
webisMMajority1,36,0.0998400524135412
webisMMajority1,37,0.018211668673618165
webisMMajority1,39,0.06943551220417622
webisMMajority1,40,0.0004253717063324443
webisMMajority1,41,0.020247426483390243
webisMMajority1,42,0.0033571701922778287
webisMMajority1,45,3.448365308093742e-05
webisMMajority1,49,0.11158508885795523
webisMMajority1,50,0.10862082526139803
webisMMajority1,average,0.07113690449478176
