runid,topic,compatibility
webisMSame3,1,0.07231624272920018
webisMSame3,3,0.01627091248361706
webisMSame3,5,0.00020751939497691188
webisMSame3,6,0.031341170198964555
webisMSame3,7,0.3082818539375384
webisMSame3,8,0.15274722984307046
webisMSame3,11,0.0235193641838986
webisMSame3,12,0.02063614123027954
webisMSame3,13,0.048301764289561795
webisMSame3,16,0.057092649572245205
webisMSame3,17,0.02018616096221748
webisMSame3,18,1.1821825043612547e-05
webisMSame3,19,0.021070480527042294
webisMSame3,20,0.016458272412577874
webisMSame3,27,7.695743122655595e-07
webisMSame3,28,0.028010729181932915
webisMSame3,29,0.05345517644297448
webisMSame3,32,0.04005580336759954
webisMSame3,33,0.033737770239282754
webisMSame3,34,0.02343710087059538
webisMSame3,36,0.11012360841844399
webisMSame3,37,0.01591207465264023
webisMSame3,38,0.032011313519384896
webisMSame3,39,0.12326179703754718
webisMSame3,40,0.07102585435030419
webisMSame3,41,0.06373522514709652
webisMSame3,42,0.04881534382817415
webisMSame3,44,0.028268570689494673
webisMSame3,45,0.00014831228896407
webisMSame3,47,0.00024084136092518516
webisMSame3,49,0.0006030446821619224
webisMSame3,50,0.05698933469250601
webisMSame3,51,0.002930446645323642
webisMSame3,average,0.0460971121387848
