runid,topic,compatibility
webisTSame1,1,0.0
webisTSame1,5,0.052173198600459395
webisTSame1,8,0.16312619576094137
webisTSame1,11,0.08229346365583558
webisTSame1,12,0.03380917140270737
webisTSame1,16,7.66788122315953e-10
webisTSame1,19,0.01761782068727265
webisTSame1,20,0.0
webisTSame1,27,5.449028133792783e-05
webisTSame1,28,0.06550174148312299
webisTSame1,29,0.04582918795122143
webisTSame1,33,0.00027230766001796287
webisTSame1,34,0.005375397845670374
webisTSame1,36,0.08221017103927986
webisTSame1,37,0.024164047490614363
webisTSame1,39,0.016164649354882488
webisTSame1,40,0.0004253717063324443
webisTSame1,41,0.04982301792843067
webisTSame1,42,0.0033571701922778287
webisTSame1,45,3.448365308093742e-05
webisTSame1,49,0.006012777950056535
webisTSame1,50,0.16412959638759742
webisTSame1,average,0.03692610280899671
