runid,topic,compatibility
webisTSame1,1,0.11220299565647976
webisTSame1,3,0.03977809647409489
webisTSame1,5,0.00020751939497691188
webisTSame1,6,0.10663603958705761
webisTSame1,7,0.017232256288555854
webisTSame1,8,0.04011392686361793
webisTSame1,11,0.011592699826054686
webisTSame1,12,0.050329792177700824
webisTSame1,13,0.04714907454162036
webisTSame1,16,0.06312089574394902
webisTSame1,17,0.0008664138461009971
webisTSame1,18,1.1821825043612547e-05
webisTSame1,19,0.14263863324079748
webisTSame1,20,0.03385701415785019
webisTSame1,27,7.695743122655595e-07
webisTSame1,28,0.05392378575941435
webisTSame1,29,0.010678793796240347
webisTSame1,32,0.027200839656741284
webisTSame1,33,0.027238771677707028
webisTSame1,34,0.07532484132899135
webisTSame1,36,0.06680811894810676
webisTSame1,37,0.1165045915026366
webisTSame1,38,0.07230511189430372
webisTSame1,39,0.005345162776363027
webisTSame1,40,0.016370821275924003
webisTSame1,41,0.07160541128354721
webisTSame1,42,0.10044694889452235
webisTSame1,44,0.14222994949848589
webisTSame1,45,0.00014831228896407
webisTSame1,47,0.00024084136092518516
webisTSame1,49,0.0006030446821619224
webisTSame1,50,0.06379837276076486
webisTSame1,51,0.025683602997316694
webisTSame1,average,0.04673319004791905
