runid,topic,compatibility
WatSAM-BM25,101,0.054917143486010796
WatSAM-BM25,102,0.4476211220691518
WatSAM-BM25,103,0.08332483384487517
WatSAM-BM25,104,0.41804705117827373
WatSAM-BM25,105,0.1592008738360828
WatSAM-BM25,106,0.0
WatSAM-BM25,107,0.12772628218297788
WatSAM-BM25,108,0.10234859361689047
WatSAM-BM25,109,0.14449720205594593
WatSAM-BM25,110,0.44396183880968215
WatSAM-BM25,111,0.1348089315861151
WatSAM-BM25,112,0.0234332343080555
WatSAM-BM25,114,0.1474676825415502
WatSAM-BM25,115,0.20707548478012144
WatSAM-BM25,117,0.57430675577452
WatSAM-BM25,118,0.02851314071878187
WatSAM-BM25,120,0.1061202341061889
WatSAM-BM25,121,0.0
WatSAM-BM25,122,0.10572491641307245
WatSAM-BM25,127,0.10246140305106194
WatSAM-BM25,128,0.6808053598122464
WatSAM-BM25,129,0.0
WatSAM-BM25,131,0.33285201965863076
WatSAM-BM25,132,0.4236520947270004
WatSAM-BM25,133,0.17706319229096593
WatSAM-BM25,134,0.03177363501658474
WatSAM-BM25,136,0.31032429356104163
WatSAM-BM25,137,0.16973985224216823
WatSAM-BM25,139,0.07847193430030827
WatSAM-BM25,140,0.20069918710511248
WatSAM-BM25,143,0.02347385022856757
WatSAM-BM25,144,0.004780910641954199
WatSAM-BM25,145,0.0
WatSAM-BM25,146,0.11281321660506734
WatSAM-BM25,149,0.006413797936902817
WatSAM-BM25,average,0.17041200195674022
