runid,topic,compatibility
WatSMC-CAL,101,0.2676596644818425
WatSMC-CAL,102,0.7022272725333701
WatSMC-CAL,103,0.1238918275296493
WatSMC-CAL,104,0.010748955044417604
WatSMC-CAL,105,0.8782597823368747
WatSMC-CAL,106,0.22453829844904105
WatSMC-CAL,107,0.09151676729615546
WatSMC-CAL,108,0.4803032729019386
WatSMC-CAL,109,0.029716213839740917
WatSMC-CAL,110,0.006945838716135767
WatSMC-CAL,111,1.6780231469062532e-17
WatSMC-CAL,112,0.011871962146914508
WatSMC-CAL,114,0.19777567993312545
WatSMC-CAL,115,0.1314718287059222
WatSMC-CAL,117,9.584775016045132e-09
WatSMC-CAL,118,0.9622116225567527
WatSMC-CAL,120,0.667093261154837
WatSMC-CAL,121,0.08224922735349835
WatSMC-CAL,122,0.0007448520507410437
WatSMC-CAL,127,0.21142298946125843
WatSMC-CAL,128,0.008541801451582922
WatSMC-CAL,129,0.1311910829574524
WatSMC-CAL,131,0.1620931629156459
WatSMC-CAL,132,0.012938602347905918
WatSMC-CAL,133,0.17280700717574657
WatSMC-CAL,134,0.7924610272621107
WatSMC-CAL,136,0.09158048902051413
WatSMC-CAL,137,0.1956681664074486
WatSMC-CAL,139,0.7652761271426451
WatSMC-CAL,140,0.8329955329633454
WatSMC-CAL,143,0.7888664749202479
WatSMC-CAL,144,0.5520096088795341
WatSMC-CAL,145,0.7340978154817861
WatSMC-CAL,146,0.5379767056248472
WatSMC-CAL,149,0.20013692104128705
WatSMC-CAL,average,0.31597971004768827
