runid,topic,compatibility
WatSMC-CALQA100,101,0.1452495044815186
WatSMC-CALQA100,102,0.5051103788788137
WatSMC-CALQA100,103,0.23111303260683028
WatSMC-CALQA100,104,5.490238245396278e-09
WatSMC-CALQA100,105,0.8794304231652789
WatSMC-CALQA100,106,0.2978364377571405
WatSMC-CALQA100,107,0.12091325540963604
WatSMC-CALQA100,108,0.5665821077529354
WatSMC-CALQA100,109,0.2861921414442037
WatSMC-CALQA100,110,0.11756431148612345
WatSMC-CALQA100,111,1.7823638652077666e-06
WatSMC-CALQA100,112,0.32440134439028406
WatSMC-CALQA100,114,0.334817465797597
WatSMC-CALQA100,115,0.17665291898692204
WatSMC-CALQA100,117,0.7597204563801896
WatSMC-CALQA100,118,0.8906983022799625
WatSMC-CALQA100,120,0.3978777508959552
WatSMC-CALQA100,121,0.03778571337381674
WatSMC-CALQA100,122,0.24822209512118334
WatSMC-CALQA100,127,0.344783302684537
WatSMC-CALQA100,128,6.241017838918917e-05
WatSMC-CALQA100,129,0.22894520150142386
WatSMC-CALQA100,131,0.12395959246452196
WatSMC-CALQA100,132,5.705000945054636e-07
WatSMC-CALQA100,133,0.2624325103921293
WatSMC-CALQA100,134,0.6929275495235067
WatSMC-CALQA100,136,0.08276881772322041
WatSMC-CALQA100,137,0.12326584523929725
WatSMC-CALQA100,139,0.6545388736473636
WatSMC-CALQA100,140,0.6917614379121311
WatSMC-CALQA100,143,0.7978947912393451
WatSMC-CALQA100,144,0.48615183100938897
WatSMC-CALQA100,145,0.5314431766767799
WatSMC-CALQA100,146,0.4477794401151139
WatSMC-CALQA100,149,0.22187431992504145
WatSMC-CALQA100,average,0.3431645456798507
