runid,topic,compatibility
WatSMC-CALQAAll,101,0.10050910812131862
WatSMC-CALQAAll,102,0.6789932117858144
WatSMC-CALQAAll,103,0.2622693174824742
WatSMC-CALQAAll,104,0.11329781402870513
WatSMC-CALQAAll,105,0.8800918524074803
WatSMC-CALQAAll,106,0.29783644223777866
WatSMC-CALQAAll,107,0.12099623772026676
WatSMC-CALQAAll,108,0.5668129508719617
WatSMC-CALQAAll,109,0.3311590130028813
WatSMC-CALQAAll,110,0.11446699439430662
WatSMC-CALQAAll,111,0.026860380453450686
WatSMC-CALQAAll,112,0.33231295243798853
WatSMC-CALQAAll,114,0.34576479332872784
WatSMC-CALQAAll,115,0.17663465186049515
WatSMC-CALQAAll,117,0.7597204563801896
WatSMC-CALQAAll,118,0.8906983073830309
WatSMC-CALQAAll,120,0.3978777508959552
WatSMC-CALQAAll,121,0.037785713389942716
WatSMC-CALQAAll,122,0.279090785763619
WatSMC-CALQAAll,127,0.34478862603178256
WatSMC-CALQAAll,128,0.22605946086780673
WatSMC-CALQAAll,129,0.22894520721060269
WatSMC-CALQAAll,131,0.12397063644456123
WatSMC-CALQAAll,132,0.08545748224643826
WatSMC-CALQAAll,133,0.26243251039222715
WatSMC-CALQAAll,134,0.6891689036355866
WatSMC-CALQAAll,136,0.08277045387124367
WatSMC-CALQAAll,137,0.10549864993519874
WatSMC-CALQAAll,139,0.6608584301946259
WatSMC-CALQAAll,140,0.6917614379111117
WatSMC-CALQAAll,143,0.7978398413366052
WatSMC-CALQAAll,144,0.48615525369401985
WatSMC-CALQAAll,145,0.5314431766768081
WatSMC-CALQAAll,146,0.44768907399898294
WatSMC-CALQAAll,149,0.22187739335089954
WatSMC-CALQAAll,average,0.36285415062128246
