runid,topic,compatibility
WatSMC-CALQAHC2,101,0.10050910812131862
WatSMC-CALQAHC2,102,0.8388159820006467
WatSMC-CALQAHC2,103,0.374952502297286
WatSMC-CALQAHC2,104,0.1770685269763824
WatSMC-CALQAHC2,105,0.8860769136828927
WatSMC-CALQAHC2,106,0.02449342740182836
WatSMC-CALQAHC2,107,0.3229276813879053
WatSMC-CALQAHC2,108,0.1579200970681344
WatSMC-CALQAHC2,109,0.5087067540025316
WatSMC-CALQAHC2,110,0.041910135336144405
WatSMC-CALQAHC2,111,0.014772563982766366
WatSMC-CALQAHC2,112,0.2593489835198026
WatSMC-CALQAHC2,114,0.5661592031047628
WatSMC-CALQAHC2,115,0.7046632841195016
WatSMC-CALQAHC2,117,0.7597204563801896
WatSMC-CALQAHC2,118,0.8884209082064648
WatSMC-CALQAHC2,120,0.7188719253373382
WatSMC-CALQAHC2,121,0.3912799079130188
WatSMC-CALQAHC2,122,0.17793812154509306
WatSMC-CALQAHC2,127,0.20345803282908595
WatSMC-CALQAHC2,128,0.3806487704251322
WatSMC-CALQAHC2,129,0.6449088031883109
WatSMC-CALQAHC2,131,0.4316290704702725
WatSMC-CALQAHC2,132,0.1689669914275968
WatSMC-CALQAHC2,133,0.7915440661026699
WatSMC-CALQAHC2,134,0.5449086911758317
WatSMC-CALQAHC2,136,0.11018897060375865
WatSMC-CALQAHC2,137,0.07397339653599769
WatSMC-CALQAHC2,139,0.600153375100808
WatSMC-CALQAHC2,140,0.8581882718878259
WatSMC-CALQAHC2,143,0.793653119252074
WatSMC-CALQAHC2,144,0.6271991181030716
WatSMC-CALQAHC2,145,0.2255409890904312
WatSMC-CALQAHC2,146,0.34901735647626353
WatSMC-CALQAHC2,149,0.5223555405023905
WatSMC-CALQAHC2,average,0.4354540298730152
