runid,topic,compatibility
WatSMM-CALHC,101,0.04153959829547474
WatSMM-CALHC,102,0.16073952275483588
WatSMM-CALHC,103,0.18906731412235442
WatSMM-CALHC,104,0.31802802076211273
WatSMM-CALHC,105,0.008789303964918688
WatSMM-CALHC,106,0.0
WatSMM-CALHC,107,0.023549265542332824
WatSMM-CALHC,108,0.48101312419333836
WatSMM-CALHC,109,0.21260261769842695
WatSMM-CALHC,110,0.7167338573615015
WatSMM-CALHC,111,0.5331608893540175
WatSMM-CALHC,112,0.07818360854183781
WatSMM-CALHC,114,0.10448205431660607
WatSMM-CALHC,115,0.026115210192352516
WatSMM-CALHC,117,0.7072573292333098
WatSMM-CALHC,118,0.0068393543779447135
WatSMM-CALHC,120,5.439959285847836e-05
WatSMM-CALHC,121,0.0
WatSMM-CALHC,122,0.15995006533401016
WatSMM-CALHC,127,0.26745844697818844
WatSMM-CALHC,128,0.8175440598320468
WatSMM-CALHC,129,0.0
WatSMM-CALHC,131,0.3329937165428188
WatSMM-CALHC,132,0.635877393591672
WatSMM-CALHC,133,0.008035791986390591
WatSMM-CALHC,134,0.0008581802186115904
WatSMM-CALHC,136,0.008048454349833431
WatSMM-CALHC,137,0.3122546215080986
WatSMM-CALHC,139,0.01541768584844635
WatSMM-CALHC,140,2.4062714383413044e-09
WatSMM-CALHC,143,0.00909865391360115
WatSMM-CALHC,144,0.05501357221693198
WatSMM-CALHC,145,0.0
WatSMM-CALHC,146,0.20755337720115347
WatSMM-CALHC,149,0.0020462599581933592
WatSMM-CALHC,average,0.1840087357768712
