runid,topic,compatibility
WatSMM-CALQAAll,101,0.1571327690790887
WatSMM-CALQAAll,102,0.7682490996342672
WatSMM-CALQAAll,103,0.36463656340602246
WatSMM-CALQAAll,104,0.1770306854411185
WatSMM-CALQAAll,105,0.8628127363286565
WatSMM-CALQAAll,106,0.020221120299862897
WatSMM-CALQAAll,107,0.37848507670712994
WatSMM-CALQAAll,108,0.22667739382642443
WatSMM-CALQAAll,109,0.534477765145535
WatSMM-CALQAAll,110,6.040169712326977e-15
WatSMM-CALQAAll,111,0.0174615511075555
WatSMM-CALQAAll,112,0.19126187413861417
WatSMM-CALQAAll,114,0.49491274503785504
WatSMM-CALQAAll,115,0.7456888187272043
WatSMM-CALQAAll,117,0.7597204563801896
WatSMM-CALQAAll,118,0.8407261209173418
WatSMM-CALQAAll,120,0.5457263342919801
WatSMM-CALQAAll,121,0.2949267089709518
WatSMM-CALQAAll,122,0.22099193145911208
WatSMM-CALQAAll,127,0.22144239098416627
WatSMM-CALQAAll,128,0.3784284780990544
WatSMM-CALQAAll,129,0.6798279239581659
WatSMM-CALQAAll,131,0.5808149623752628
WatSMM-CALQAAll,132,0.24544311051044093
WatSMM-CALQAAll,133,0.7255946992262349
WatSMM-CALQAAll,134,0.5565052548439877
WatSMM-CALQAAll,136,0.066260244356626
WatSMM-CALQAAll,137,0.0
WatSMM-CALQAAll,139,0.3985443287859515
WatSMM-CALQAAll,140,0.6222836796756426
WatSMM-CALQAAll,143,0.7133033190656913
WatSMM-CALQAAll,144,0.5456198540915457
WatSMM-CALQAAll,145,0.22176430739138647
WatSMM-CALQAAll,146,0.2507419773850147
WatSMM-CALQAAll,149,0.527126076336168
WatSMM-CALQAAll,average,0.40956686737097875
