runid,topic,compatibility
WatSMM-Fused,101,0.4779388467821614
WatSMM-Fused,102,0.6419487434268292
WatSMM-Fused,103,0.21524187981484844
WatSMM-Fused,104,0.04034639802106164
WatSMM-Fused,105,0.9035080598981997
WatSMM-Fused,106,0.15984483955062556
WatSMM-Fused,107,0.15444630424180153
WatSMM-Fused,108,0.10616912477094266
WatSMM-Fused,109,0.22016558641772765
WatSMM-Fused,110,0.004441538847241371
WatSMM-Fused,111,0.00036345858449017364
WatSMM-Fused,112,0.13277212160027832
WatSMM-Fused,114,0.28286410169336595
WatSMM-Fused,115,0.6708437787354562
WatSMM-Fused,117,0.0
WatSMM-Fused,118,0.7305954254623493
WatSMM-Fused,120,0.8822719103195452
WatSMM-Fused,121,0.10281454901816531
WatSMM-Fused,122,0.0058470328713587675
WatSMM-Fused,127,0.1324061530646993
WatSMM-Fused,128,0.09021166733368484
WatSMM-Fused,129,0.7698664949791613
WatSMM-Fused,131,0.3369905004545658
WatSMM-Fused,132,0.07885286040718284
WatSMM-Fused,133,0.8642518444376043
WatSMM-Fused,134,0.7019870436659285
WatSMM-Fused,136,0.2066862295120555
WatSMM-Fused,137,0.0
WatSMM-Fused,139,0.35814834508748067
WatSMM-Fused,140,0.9471996586281058
WatSMM-Fused,143,0.9095189027213766
WatSMM-Fused,144,0.42867279029504063
WatSMM-Fused,145,0.11901736097261818
WatSMM-Fused,146,0.4699115072027709
WatSMM-Fused,149,0.64382261721428
WatSMM-Fused,average,0.36542764788665727
