runid,topic,compatibility
WatSMT-SD-S2,101,0.0016357881440264975
WatSMT-SD-S2,102,0.17481489325083543
WatSMT-SD-S2,103,0.10549108145466342
WatSMT-SD-S2,104,0.06004799201561599
WatSMT-SD-S2,105,0.027982172196282497
WatSMT-SD-S2,106,0.012290533796392123
WatSMT-SD-S2,107,1.6899740255689182e-06
WatSMT-SD-S2,108,0.046994187512925834
WatSMT-SD-S2,109,0.11033761818722827
WatSMT-SD-S2,110,0.41958755887446275
WatSMT-SD-S2,111,0.05350462267708137
WatSMT-SD-S2,112,0.24490729986794202
WatSMT-SD-S2,114,0.01158101378846768
WatSMT-SD-S2,115,0.20457303651685094
WatSMT-SD-S2,117,0.0720566562172857
WatSMT-SD-S2,118,0.00014207529354124762
WatSMT-SD-S2,120,8.196737290036173e-08
WatSMT-SD-S2,121,3.7915284589900467e-07
WatSMT-SD-S2,122,0.00026374883376650154
WatSMT-SD-S2,127,0.03323053756376821
WatSMT-SD-S2,128,0.5695185071322494
WatSMT-SD-S2,129,0.0
WatSMT-SD-S2,131,0.0065313386743660025
WatSMT-SD-S2,132,0.011592101629187111
WatSMT-SD-S2,133,0.003926631785478809
WatSMT-SD-S2,134,0.10269835106140367
WatSMT-SD-S2,136,0.28056134298462476
WatSMT-SD-S2,137,0.013906699444271612
WatSMT-SD-S2,139,0.00028126492436373506
WatSMT-SD-S2,140,0.2575878991966514
WatSMT-SD-S2,143,0.07146246343331339
WatSMT-SD-S2,144,0.000597486793414999
WatSMT-SD-S2,145,0.0630598791149622
WatSMT-SD-S2,146,0.04571129943427124
WatSMT-SD-S2,149,4.323367424032679e-06
WatSMT-SD-S2,average,0.0859109301788961
