runid,topic,compatibility
bm25,101,0.60356977550111
bm25,102,0.03920517867506276
bm25,103,0.14599828453370509
bm25,104,7.95178039610129e-09
bm25,105,0.24021048564540864
bm25,106,0.28988283236948115
bm25,107,0.2861640338257992
bm25,108,0.09139097742499538
bm25,109,0.24885489921594395
bm25,110,0.06784454766741925
bm25,111,0.01218205914965878
bm25,112,0.0018802578064574505
bm25,114,0.030847417475855027
bm25,115,0.35382607502346725
bm25,117,0.002737207433311835
bm25,118,0.9455443324901415
bm25,120,0.6116480035482195
bm25,121,0.21818307269868165
bm25,122,0.015339454961795897
bm25,127,0.30324661839762723
bm25,128,0.009945447758042535
bm25,129,0.4672315424811319
bm25,131,0.10416944063386675
bm25,132,0.12364691062358833
bm25,133,0.4397192238902452
bm25,134,0.16921081098924534
bm25,136,0.41435178796304256
bm25,137,0.17077579833836223
bm25,139,0.0015976024655816688
bm25,140,0.03738523243757375
bm25,143,0.2901922444651714
bm25,144,0.2175186301055383
bm25,145,0.32288441099294435
bm25,146,0.45993051418356423
bm25,149,0.42865458546782237
bm25,average,0.23330770584547547
