runid,topic,compatibility
mt5,101,0.4011438744927718
mt5,102,0.31305361967257095
mt5,103,0.3045640755589633
mt5,104,0.007634202042198146
mt5,105,0.7357026575158728
mt5,106,0.36320224421121616
mt5,107,0.3676146285552724
mt5,108,0.24389742276725826
mt5,109,0.007615890751642563
mt5,110,0.05185427264202762
mt5,111,0.022798264293259856
mt5,112,0.04103010501494014
mt5,114,0.044795665336948585
mt5,115,0.4363106185119911
mt5,117,0.18307832037766295
mt5,118,0.5466821046059379
mt5,120,0.5870119493859729
mt5,121,0.12205270727044629
mt5,122,0.0006436114798051322
mt5,127,0.30616463146813344
mt5,128,0.0749584118199136
mt5,129,0.42330871506017537
mt5,131,0.2299361626409791
mt5,132,0.04643386616310755
mt5,133,0.4202495214984775
mt5,134,0.5891969638482242
mt5,136,0.07720020764125134
mt5,137,0.44132610344907297
mt5,139,0.1112572976305397
mt5,140,0.6165966619387848
mt5,143,0.4095035227986991
mt5,144,0.25363368566037336
mt5,145,0.26788775383314684
mt5,146,0.30678006604568614
mt5,149,0.6315400062194563
mt5,average,0.28533313749150807
