runid,topic,compatibility
vera0,101,0.15485283889946921
vera0,102,0.010069250894691337
vera0,103,0.003662862220893018
vera0,104,0.003783150778552539
vera0,105,0.007454715603384079
vera0,106,0.011346414950583727
vera0,107,2.0067126122554903e-06
vera0,108,0.06637919525235736
vera0,109,0.02405734537761308
vera0,110,0.053280095442406104
vera0,111,0.09171906549711387
vera0,112,0.012386441990336273
vera0,114,0.17027825224169513
vera0,115,5.3760461221430016e-17
vera0,117,0.04373450994969486
vera0,118,4.415302569842103e-07
vera0,120,0.0
vera0,121,0.02885740627097831
vera0,122,0.001896154420631652
vera0,127,6.612309747881755e-10
vera0,128,9.169548011343074e-07
vera0,129,5.5695014234128756e-05
vera0,131,3.959936770562994e-17
vera0,132,0.0029444766056135425
vera0,133,3.6928643791819993e-13
vera0,134,1.1569914411778638e-10
vera0,136,0.0016715936190716772
vera0,137,3.6038411660983424e-09
vera0,139,0.000299588433659715
vera0,140,1.5727655673305714e-07
vera0,143,0.013879591702001173
vera0,144,3.251813071336779e-07
vera0,145,1.1564775841689261e-07
vera0,146,0.018045526531687277
vera0,149,0.045515772037934756
vera0,average,0.02189068318340102
