runid,topic,compatibility
watgoogp,101,9.852650928662767e-05
watgoogp,102,0.01985243115999036
watgoogp,103,6.801663954929257e-06
watgoogp,104,5.5570880349149406e-08
watgoogp,105,0.176558103780012
watgoogp,106,0.04190585899043267
watgoogp,107,0.001301259181465321
watgoogp,108,0.004254773516156806
watgoogp,109,0.0
watgoogp,110,0.06252399551641208
watgoogp,111,0.0
watgoogp,112,0.0
watgoogp,114,0.002204323691982328
watgoogp,115,0.007472808545575347
watgoogp,117,0.0
watgoogp,118,0.7140152083761119
watgoogp,120,0.003157337071416624
watgoogp,121,3.79254973842238e-10
watgoogp,122,1.925632803030744e-11
watgoogp,127,0.03898813086877659
watgoogp,128,0.0022939508043012457
watgoogp,129,0.286444104447145
watgoogp,131,0.01676827979927864
watgoogp,132,0.0
watgoogp,133,1.1516902610834968e-06
watgoogp,134,0.5453940556256124
watgoogp,136,0.0
watgoogp,137,0.0030845354482383915
watgoogp,139,0.1948005566978772
watgoogp,140,0.23815486458243898
watgoogp,143,0.00022830468590051323
watgoogp,144,1.5526145599027315e-11
watgoogp,145,0.0
watgoogp,146,0.13483402403304628
watgoogp,149,7.62313541211396e-09
watgoogp,average,0.0712669557226779
