runid,topic,compatibility
watrrfnp,101,0.010401362544735154
watrrfnp,102,0.0017077412055875642
watrrfnp,103,0.018553265180830985
watrrfnp,104,0.002604432292716573
watrrfnp,105,0.015101474060147392
watrrfnp,106,0.09557759896020819
watrrfnp,107,0.021091500477101895
watrrfnp,108,0.0812346804591792
watrrfnp,109,0.014764180593137098
watrrfnp,110,0.06248965155824606
watrrfnp,111,0.012626398651038803
watrrfnp,112,1.2543600787709515e-08
watrrfnp,114,0.0061735699623883585
watrrfnp,115,0.05355195686185992
watrrfnp,117,0.0016166187256334485
watrrfnp,118,0.3468581324625828
watrrfnp,120,0.011821835599797536
watrrfnp,121,1.4824338282748963e-18
watrrfnp,122,3.0333248608755404e-10
watrrfnp,127,0.17150346073826048
watrrfnp,128,0.03726096188656168
watrrfnp,129,0.13879257262838463
watrrfnp,131,0.008996898053712786
watrrfnp,132,2.23817842090153e-06
watrrfnp,133,0.3061836485829474
watrrfnp,134,0.035280546457302615
watrrfnp,136,0.012752399170915044
watrrfnp,137,0.002884957449799153
watrrfnp,139,7.937422702318684e-07
watrrfnp,140,0.10741650076913503
watrrfnp,143,0.0009423874769641565
watrrfnp,144,0.2828013042468739
watrrfnp,145,0.025137098337811376
watrrfnp,146,0.1047677046987848
watrrfnp,149,0.3359866813136991
watrrfnp,average,0.06648241617639905
