runid,topic,compatibility
webis-t5,101,0.009457779864368366
webis-t5,102,0.12563230258015495
webis-t5,103,0.08793556099444667
webis-t5,104,0.07299176543529433
webis-t5,105,0.04855502104926587
webis-t5,106,0.033874581192306685
webis-t5,107,0.05388866125356469
webis-t5,108,0.14266085884041763
webis-t5,109,0.14775670232190105
webis-t5,110,0.1091103170417105
webis-t5,111,0.26696870204854606
webis-t5,112,0.1327126343944161
webis-t5,114,0.11473024633883513
webis-t5,115,0.12754380018537467
webis-t5,117,0.08025829930259694
webis-t5,118,0.004857574359666721
webis-t5,120,0.0020969375221493633
webis-t5,121,0.0
webis-t5,122,0.023694229316786938
webis-t5,127,0.001200623256996075
webis-t5,128,0.2684406050830245
webis-t5,129,0.12583656772248428
webis-t5,131,0.17824262790305503
webis-t5,132,0.03712288713830701
webis-t5,133,0.07432094731265751
webis-t5,134,0.24071493049239068
webis-t5,136,0.1473449870268644
webis-t5,137,0.4055723868164367
webis-t5,139,0.3334972374753135
webis-t5,140,0.0012371549985044769
webis-t5,143,0.24314250513005592
webis-t5,144,0.001911536020917652
webis-t5,145,0.08143380258450393
webis-t5,146,0.0015591681323360097
webis-t5,149,0.018328625537662475
webis-t5,average,0.10698950190495178
