runid,topic,compatibility
WatSAM-BM25,101,1.0047109100285876e-05
WatSAM-BM25,102,0.0
WatSAM-BM25,103,0.13086893860340393
WatSAM-BM25,104,0.15182175436032197
WatSAM-BM25,105,0.0
WatSAM-BM25,106,0.0
WatSAM-BM25,107,0.002874589303323345
WatSAM-BM25,108,0.00036914636960467276
WatSAM-BM25,109,0.03937619811856929
WatSAM-BM25,110,0.3162736261764774
WatSAM-BM25,111,0.0
WatSAM-BM25,112,0.0
WatSAM-BM25,114,0.0
WatSAM-BM25,115,0.038681157589850364
WatSAM-BM25,117,0.00013590491261326903
WatSAM-BM25,118,3.8103986970186353e-08
WatSAM-BM25,120,0.0
WatSAM-BM25,121,0.0
WatSAM-BM25,122,0.16652695903869377
WatSAM-BM25,127,0.004916127597204633
WatSAM-BM25,128,0.0
WatSAM-BM25,129,0.0071083778223114
WatSAM-BM25,131,0.07425667737821574
WatSAM-BM25,132,0.0
WatSAM-BM25,133,3.3046358112761073e-07
WatSAM-BM25,136,0.015865558612870343
WatSAM-BM25,137,0.0
WatSAM-BM25,139,0.0
WatSAM-BM25,140,1.6478737372670136e-06
WatSAM-BM25,143,1.4326453340953882e-05
WatSAM-BM25,144,0.0214210613888351
WatSAM-BM25,145,0.40578134675716715
WatSAM-BM25,146,0.0008396828517790901
WatSAM-BM25,149,0.0
WatSAM-BM25,average,0.040504220496617296
