runid,topic,compatibility
WatSMC-CAL,101,0.06162620108818304
WatSMC-CAL,102,0.27715723894761657
WatSMC-CAL,103,0.07062106517232963
WatSMC-CAL,104,0.5657011439076107
WatSMC-CAL,105,0.3075984734755126
WatSMC-CAL,106,0.33529382296783194
WatSMC-CAL,107,0.13893950203283495
WatSMC-CAL,108,0.11479355591334567
WatSMC-CAL,109,0.04239913248293795
WatSMC-CAL,110,0.007111617098406062
WatSMC-CAL,111,0.05292265123293375
WatSMC-CAL,112,0.17861632512469847
WatSMC-CAL,114,0.13293604937636105
WatSMC-CAL,115,0.2602272695133767
WatSMC-CAL,117,0.2962256087035407
WatSMC-CAL,118,0.03409166079098219
WatSMC-CAL,120,0.2970196457086353
WatSMC-CAL,121,0.009753382102602431
WatSMC-CAL,122,0.013240482819271275
WatSMC-CAL,127,0.25047381883757686
WatSMC-CAL,128,0.45266262143575686
WatSMC-CAL,129,0.03950603382777517
WatSMC-CAL,131,0.08605092848205134
WatSMC-CAL,132,0.19970698708572218
WatSMC-CAL,133,0.12048434789007133
WatSMC-CAL,134,0.16551013162827938
WatSMC-CAL,136,0.08828155670394985
WatSMC-CAL,137,0.47654072931163893
WatSMC-CAL,139,0.36676296966365723
WatSMC-CAL,140,0.06162878064611927
WatSMC-CAL,143,0.2573032017067313
WatSMC-CAL,144,0.6277254176975815
WatSMC-CAL,145,3.977949688816765e-19
WatSMC-CAL,146,0.40964694779262484
WatSMC-CAL,149,0.06431189938690253
WatSMC-CAL,average,0.19608203430158427
