runid,topic,compatibility
WatSMC-CALQAHC1,101,0.15753741289374287
WatSMC-CALQAHC1,102,0.010888776543663789
WatSMC-CALQAHC1,103,9.718268150201607e-06
WatSMC-CALQAHC1,104,4.689392503039652e-05
WatSMC-CALQAHC1,105,0.0114342514712161
WatSMC-CALQAHC1,106,0.19507074511285116
WatSMC-CALQAHC1,107,0.009308887900759443
WatSMC-CALQAHC1,108,2.2919358551536122e-14
WatSMC-CALQAHC1,109,0.02469671930823547
WatSMC-CALQAHC1,110,9.084661167545236e-09
WatSMC-CALQAHC1,111,0.0
WatSMC-CALQAHC1,112,1.4795051367518335e-05
WatSMC-CALQAHC1,114,0.0004629215694910468
WatSMC-CALQAHC1,115,0.07149897038201847
WatSMC-CALQAHC1,117,0.030334546571651785
WatSMC-CALQAHC1,118,0.0012851365143727838
WatSMC-CALQAHC1,120,0.020567277973252748
WatSMC-CALQAHC1,121,0.10500985693663567
WatSMC-CALQAHC1,122,3.6998926576261844e-05
WatSMC-CALQAHC1,127,0.06588503446584826
WatSMC-CALQAHC1,128,0.0048091271659007695
WatSMC-CALQAHC1,129,0.0347954136472733
WatSMC-CALQAHC1,131,0.055052634509242845
WatSMC-CALQAHC1,132,0.07622536733477964
WatSMC-CALQAHC1,133,0.04713367044810108
WatSMC-CALQAHC1,136,0.06535373954241094
WatSMC-CALQAHC1,137,0.0218274197033026
WatSMC-CALQAHC1,139,6.54553790051239e-08
WatSMC-CALQAHC1,140,0.06401244665676395
WatSMC-CALQAHC1,143,0.008394145761663425
WatSMC-CALQAHC1,144,0.0018283809099508548
WatSMC-CALQAHC1,145,0.40578134675716715
WatSMC-CALQAHC1,146,0.010792972184930852
WatSMC-CALQAHC1,149,0.0501404674568114
WatSMC-CALQAHC1,average,0.045595180895094886
