runid,topic,compatibility
WatSMC-Correct,101,0.004675685099284066
WatSMC-Correct,102,7.340390394472946e-17
WatSMC-Correct,103,0.0002686719621334314
WatSMC-Correct,104,0.030583434144868922
WatSMC-Correct,105,4.740247687355397e-13
WatSMC-Correct,106,0.05338152357919736
WatSMC-Correct,107,0.019133977557389686
WatSMC-Correct,108,0.0003076430500991058
WatSMC-Correct,109,0.002084403597801229
WatSMC-Correct,110,0.007073160486604226
WatSMC-Correct,111,0.0
WatSMC-Correct,112,6.553540501910649e-16
WatSMC-Correct,114,1.3475928421940194e-05
WatSMC-Correct,115,0.0019093419106327766
WatSMC-Correct,117,0.0
WatSMC-Correct,118,0.0014654765021111362
WatSMC-Correct,120,0.01552410356939375
WatSMC-Correct,121,0.06354627349788136
WatSMC-Correct,122,0.036579970253662886
WatSMC-Correct,127,0.00012139430199996946
WatSMC-Correct,128,1.5525104879056717e-08
WatSMC-Correct,129,0.027813997506718976
WatSMC-Correct,131,1.4673615914437673e-07
WatSMC-Correct,132,3.0344189347442653e-11
WatSMC-Correct,133,0.09057209829486605
WatSMC-Correct,136,0.05261489540121922
WatSMC-Correct,137,0.05204352387488693
WatSMC-Correct,139,0.0005453097248876046
WatSMC-Correct,140,9.374141262973114e-16
WatSMC-Correct,143,0.049295472730936436
WatSMC-Correct,144,0.04103709112836898
WatSMC-Correct,145,2.8875506399425184e-09
WatSMC-Correct,146,0.05925778123024531
WatSMC-Correct,149,6.765689062708687e-07
WatSMC-Correct,average,0.017936751384769176
