runid,topic,compatibility
WatSMM-CALQAAll,101,0.004675685061638458
WatSMM-CALQAAll,102,0.0
WatSMM-CALQAAll,103,6.691328046309651e-05
WatSMM-CALQAAll,104,1.1984580634356276e-06
WatSMM-CALQAAll,105,0.0
WatSMM-CALQAAll,106,0.0
WatSMM-CALQAAll,107,0.0002753163431103723
WatSMM-CALQAAll,108,6.815885684626391e-12
WatSMM-CALQAAll,109,2.2393373536938333e-07
WatSMM-CALQAAll,110,0.0
WatSMM-CALQAAll,111,0.0
WatSMM-CALQAAll,112,0.0
WatSMM-CALQAAll,114,0.0
WatSMM-CALQAAll,115,0.025117843620191885
WatSMM-CALQAAll,117,0.0630598791087365
WatSMM-CALQAAll,118,0.020246282354049742
WatSMM-CALQAAll,120,0.0
WatSMM-CALQAAll,121,0.0
WatSMM-CALQAAll,122,0.0
WatSMM-CALQAAll,127,0.0
WatSMM-CALQAAll,128,0.0
WatSMM-CALQAAll,129,0.00012980655893937435
WatSMM-CALQAAll,131,0.06467336250652099
WatSMM-CALQAAll,132,0.0
WatSMM-CALQAAll,133,0.13342238943078447
WatSMM-CALQAAll,136,0.020109886377168384
WatSMM-CALQAAll,137,0.0
WatSMM-CALQAAll,139,0.0
WatSMM-CALQAAll,140,0.042795342813759504
WatSMM-CALQAAll,143,0.04258225747468843
WatSMM-CALQAAll,144,0.02757545114427143
WatSMM-CALQAAll,145,0.40578134675716715
WatSMM-CALQAAll,146,0.05700575721125427
WatSMM-CALQAAll,149,0.0
WatSMM-CALQAAll,average,0.026691733601216433
