runid,topic,compatibility
WatSMM-CALQAAll,101,0.040101760468191014
WatSMM-CALQAAll,102,0.17020290155091392
WatSMM-CALQAAll,103,0.2592341427824038
WatSMM-CALQAAll,104,0.056220974535358514
WatSMM-CALQAAll,105,0.11441630598169514
WatSMM-CALQAAll,106,0.0
WatSMM-CALQAAll,107,0.08225423743462734
WatSMM-CALQAAll,108,0.056677011661388534
WatSMM-CALQAAll,109,0.08594055855703102
WatSMM-CALQAAll,110,0.00018301800158806913
WatSMM-CALQAAll,111,0.019485934856731366
WatSMM-CALQAAll,112,0.07156046403415174
WatSMM-CALQAAll,114,0.18867237496828013
WatSMM-CALQAAll,115,0.025348335650106232
WatSMM-CALQAAll,117,0.0321921024615422
WatSMM-CALQAAll,118,0.13427633427176852
WatSMM-CALQAAll,120,0.1429987040094036
WatSMM-CALQAAll,121,0.053580182291955845
WatSMM-CALQAAll,122,0.07062744682054435
WatSMM-CALQAAll,127,0.0448992854741597
WatSMM-CALQAAll,128,0.16554275327382015
WatSMM-CALQAAll,129,0.09666424000081925
WatSMM-CALQAAll,131,0.029494045232613845
WatSMM-CALQAAll,132,0.11170563154205289
WatSMM-CALQAAll,133,0.044749698522623955
WatSMM-CALQAAll,134,0.191681386703258
WatSMM-CALQAAll,136,0.00016569603363316551
WatSMM-CALQAAll,137,0.029881606554631825
WatSMM-CALQAAll,139,0.08285367508973662
WatSMM-CALQAAll,140,0.10725402898290785
WatSMM-CALQAAll,143,0.034950001525731515
WatSMM-CALQAAll,144,0.05922196426182304
WatSMM-CALQAAll,145,0.0
WatSMM-CALQAAll,146,0.11900346028048867
WatSMM-CALQAAll,149,0.08855078193512003
WatSMM-CALQAAll,average,0.08030260130717433
