runid,topic,compatibility
WatSMM-Fused,101,0.0014654764579046574
WatSMM-Fused,102,0.0
WatSMM-Fused,103,0.037897379818500235
WatSMM-Fused,104,0.07595953614049744
WatSMM-Fused,105,0.0
WatSMM-Fused,106,0.0
WatSMM-Fused,107,7.046272736750711e-07
WatSMM-Fused,108,0.07517144039828338
WatSMM-Fused,109,0.026830346208152698
WatSMM-Fused,110,0.0
WatSMM-Fused,111,0.0
WatSMM-Fused,112,0.0
WatSMM-Fused,114,0.0
WatSMM-Fused,115,0.11476627175025331
WatSMM-Fused,117,0.10971005202238737
WatSMM-Fused,118,0.02639004936150523
WatSMM-Fused,120,0.0
WatSMM-Fused,121,0.0
WatSMM-Fused,122,0.0
WatSMM-Fused,127,2.5491331795912432e-12
WatSMM-Fused,128,0.0
WatSMM-Fused,129,0.09927912012411277
WatSMM-Fused,131,0.1387426459818626
WatSMM-Fused,132,0.0
WatSMM-Fused,133,0.04219414903450964
WatSMM-Fused,136,0.01573093391043208
WatSMM-Fused,137,0.0
WatSMM-Fused,139,0.0
WatSMM-Fused,140,0.09842895883993272
WatSMM-Fused,143,0.01035541130238409
WatSMM-Fused,144,0.02362470081676637
WatSMM-Fused,145,0.1279593481167192
WatSMM-Fused,146,0.03117795840619877
WatSMM-Fused,149,0.0
WatSMM-Fused,average,0.03104954362706546
