runid,topic,compatibility
WatSMM-Fused,101,0.18843338353702208
WatSMM-Fused,102,0.25767834557275443
WatSMM-Fused,103,0.29435668721335795
WatSMM-Fused,104,0.1468136236578536
WatSMM-Fused,105,0.13536413646761294
WatSMM-Fused,106,0.0
WatSMM-Fused,107,0.027438960766857482
WatSMM-Fused,108,0.04091305683394403
WatSMM-Fused,109,0.08869687818351482
WatSMM-Fused,110,0.07507292533366264
WatSMM-Fused,111,0.2019244886403483
WatSMM-Fused,112,0.10990914431337045
WatSMM-Fused,114,0.18635627760907622
WatSMM-Fused,115,0.06199368785662818
WatSMM-Fused,117,0.1681439604199531
WatSMM-Fused,118,0.21236607355131412
WatSMM-Fused,120,0.154941910020694
WatSMM-Fused,121,0.026853679299507254
WatSMM-Fused,122,0.01493812927171806
WatSMM-Fused,127,0.03978495288613587
WatSMM-Fused,128,0.24567469206758782
WatSMM-Fused,129,0.23219721379382116
WatSMM-Fused,131,0.045049263032255975
WatSMM-Fused,132,0.02758256483604804
WatSMM-Fused,133,0.11493019550687755
WatSMM-Fused,134,0.20379593885221547
WatSMM-Fused,136,7.071606347608086e-05
WatSMM-Fused,137,0.17604002532326504
WatSMM-Fused,139,0.07478996535380766
WatSMM-Fused,140,0.09610142233837721
WatSMM-Fused,143,0.05268209807263375
WatSMM-Fused,144,0.09681743803391585
WatSMM-Fused,145,0.0
WatSMM-Fused,146,0.14083569705880553
WatSMM-Fused,149,0.03779714035534826
WatSMM-Fused,average,0.11360984777496459
