runid,topic,compatibility
watbm25,101,0.08802942523240073
watbm25,102,0.0688495796632055
watbm25,103,0.1041936286510094
watbm25,104,0.04862947574225963
watbm25,105,0.006280843312872239
watbm25,106,0.014605302235995566
watbm25,107,0.02156535516300977
watbm25,108,2.8729386939634178e-08
watbm25,109,0.04199141704216859
watbm25,110,0.039406858432664074
watbm25,111,0.3688794403100421
watbm25,112,0.0002537728778865825
watbm25,114,0.052672259508633565
watbm25,115,0.02864922262879407
watbm25,117,3.1062891949451193e-10
watbm25,118,0.06539846126424916
watbm25,120,0.03260421692692408
watbm25,121,2.627922208116977e-08
watbm25,122,0.12497741451570188
watbm25,127,4.9665353218944565e-05
watbm25,128,0.0032949130228908177
watbm25,129,0.10483469763057206
watbm25,131,0.04769070242978624
watbm25,132,0.06966183800606988
watbm25,133,5.213048030804987e-09
watbm25,136,0.1691609752744749
watbm25,137,0.3033394227285475
watbm25,139,0.25251674175059385
watbm25,140,0.005842568125097488
watbm25,143,0.02400181666367016
watbm25,144,6.856903726146862e-09
watbm25,145,0.11406899710120036
watbm25,146,0.09395468932690186
watbm25,149,0.06266608957098165
watbm25,average,0.0693549958200298
