runid,topic,compatibility
watgoogp,101,0.003783616759804244
watgoogp,102,0.058015626642691574
watgoogp,103,0.000645035317404572
watgoogp,104,0.0005031889847906752
watgoogp,105,0.0
watgoogp,106,1.770321066654349e-15
watgoogp,107,0.3453571509192481
watgoogp,108,0.0
watgoogp,109,0.041809323726505095
watgoogp,110,0.18849837145685525
watgoogp,111,0.0
watgoogp,112,1.0958655445485983e-10
watgoogp,114,2.7284170931728107e-22
watgoogp,115,0.004725565990847795
watgoogp,117,0.0
watgoogp,118,0.10984605379462564
watgoogp,120,0.0428364351406739
watgoogp,121,0.0
watgoogp,122,0.004679910356690469
watgoogp,127,0.0
watgoogp,128,1.2479052676985123e-19
watgoogp,129,0.02557812505767956
watgoogp,131,0.0
watgoogp,132,7.304494959576975e-07
watgoogp,133,0.0
watgoogp,136,0.0
watgoogp,137,0.14320606879012457
watgoogp,139,0.0
watgoogp,140,0.0
watgoogp,143,2.4975008884243088e-14
watgoogp,144,0.0
watgoogp,145,0.0
watgoogp,146,0.0
watgoogp,149,0.08445737540392598
watgoogp,average,0.03099831114414638
