runid,topic,compatibility
watrrfall,101,0.08776556539532697
watrrfall,102,0.03024968570034672
watrrfall,103,0.038236272766104334
watrrfall,104,0.040537631083209895
watrrfall,105,5.74872054116486e-08
watrrfall,106,0.006190497356477152
watrrfall,107,0.1355748062466481
watrrfall,108,6.794665232327729e-16
watrrfall,109,0.002138751367580782
watrrfall,110,0.07831891641124743
watrrfall,111,0.05687262136344231
watrrfall,112,0.00039469610599335287
watrrfall,114,0.009853043145146666
watrrfall,115,0.0720580673225866
watrrfall,117,0.0
watrrfall,118,0.09267832987073575
watrrfall,120,0.04195403763048036
watrrfall,121,2.5753246453634006e-05
watrrfall,122,0.03303572417669571
watrrfall,127,5.5548462993784505e-09
watrrfall,128,3.39764503800071e-05
watrrfall,129,0.04241899046768373
watrrfall,131,0.0002934743365188097
watrrfall,132,0.07303777554159155
watrrfall,133,0.0
watrrfall,136,0.06197642487033471
watrrfall,137,0.2464532297171595
watrrfall,139,0.12385739757658218
watrrfall,140,0.0005323013468350966
watrrfall,143,0.0003014317304969789
watrrfall,144,0.09075695520510252
watrrfall,145,0.0033621991700191877
watrrfall,146,0.05705809526893787
watrrfall,149,0.10351600096608896
watrrfall,average,0.04498478573171351
