runid,topic,compatibility
watrrfall,101,0.12614353323837843
watrrfall,102,0.03316379414938217
watrrfall,103,0.04886700471918846
watrrfall,104,0.017502690237238706
watrrfall,105,0.1736414236868558
watrrfall,106,0.2587103636575551
watrrfall,107,0.023405436139775262
watrrfall,108,0.1737703327286306
watrrfall,109,0.028174985560530455
watrrfall,110,0.19644214991737025
watrrfall,111,0.16275109359157533
watrrfall,112,0.1422990740894913
watrrfall,114,0.04019176355448686
watrrfall,115,0.16410037395654128
watrrfall,117,0.04932492485558964
watrrfall,118,0.3263307437424079
watrrfall,120,0.10959940936966253
watrrfall,121,0.0038080231667394263
watrrfall,122,0.00904417114375616
watrrfall,127,0.3582236977688224
watrrfall,128,0.12002165008449708
watrrfall,129,0.07576209402075977
watrrfall,131,0.2553141427454062
watrrfall,132,0.023329154315194393
watrrfall,133,0.03386869052542603
watrrfall,134,0.051625978454121195
watrrfall,136,0.001561320969137672
watrrfall,137,0.1496785268637829
watrrfall,139,0.214453260642944
watrrfall,140,0.03750694701499321
watrrfall,143,0.006411875679000809
watrrfall,144,0.02136375463077337
watrrfall,145,0.0022702284746169126
watrrfall,146,0.08458807012089606
watrrfall,149,0.026626775889807684
watrrfall,average,0.1014250702772953
