runid,topic,compatibility
watrrfg,101,0.031783835804955675
watrrfg,102,0.011416495630624853
watrrfg,103,0.025263668594236267
watrrfg,104,0.05827957014549867
watrrfg,105,0.0005668767043292285
watrrfg,106,0.001529802473178407
watrrfg,107,0.05595099743549534
watrrfg,108,2.6105721706100635e-13
watrrfg,109,0.00939720915913155
watrrfg,110,0.0024674440346892867
watrrfg,111,0.13968604870905416
watrrfg,112,4.0751402344620945e-07
watrrfg,114,0.009468299653207694
watrrfg,115,0.2307675387946342
watrrfg,117,5.779238353277743e-18
watrrfg,118,0.09155545209950755
watrrfg,120,0.04424719952267907
watrrfg,121,3.1559544101399592e-15
watrrfg,122,0.006174637847523675
watrrfg,127,3.1564648482011673e-07
watrrfg,128,5.361808602068832e-05
watrrfg,129,0.027513139738482264
watrrfg,131,0.006935962769322657
watrrfg,132,0.09316143799979149
watrrfg,133,2.468088020833848e-15
watrrfg,136,0.045250556291230815
watrrfg,137,0.046460542494106
watrrfg,139,0.07965328910158131
watrrfg,140,0.0003232783953844202
watrrfg,143,0.0007684997761349829
watrrfg,144,3.578991564254381e-15
watrrfg,145,0.028730856782622948
watrrfg,146,0.07033405992595027
watrrfg,149,0.11742393028122232
watrrfg,average,0.036328381512099245
