runid,topic,compatibility
watrrfg,101,0.19853037646962246
watrrfg,102,0.017865492316037037
watrrfg,103,0.06830864459743856
watrrfg,104,0.025941459499919214
watrrfg,105,0.10958013600958973
watrrfg,106,0.20797126717481532
watrrfg,107,0.04273938727452669
watrrfg,108,0.18704975078702618
watrrfg,109,0.03508516613666853
watrrfg,110,0.1862673060168086
watrrfg,111,0.1447914027558476
watrrfg,112,0.13752704280591843
watrrfg,114,0.052204967636360025
watrrfg,115,0.2659348409118232
watrrfg,117,0.03561233921666079
watrrfg,118,0.2573713827861678
watrrfg,120,0.08081708356335397
watrrfg,121,0.005966719575463389
watrrfg,122,0.008648429259942527
watrrfg,127,0.35440130296957967
watrrfg,128,0.0869099782260283
watrrfg,129,0.10271045274219923
watrrfg,131,0.14931184561188182
watrrfg,132,0.02384786915914662
watrrfg,133,0.01955487715241564
watrrfg,134,0.04823882483735372
watrrfg,136,0.0034785579324516183
watrrfg,137,0.07214993211671662
watrrfg,139,0.0396292433871095
watrrfg,140,0.030589797095555295
watrrfg,143,0.008619091579079282
watrrfg,144,0.11710657549517656
watrrfg,145,0.02451958623314253
watrrfg,146,0.12029885433020668
watrrfg,149,0.09995492014467675
watrrfg,average,0.09627242582304889
