runid,topic,compatibility
webis-bm25,101,0.07645065468276284
webis-bm25,102,0.11653637366360647
webis-bm25,103,0.06651363547029157
webis-bm25,104,7.901451897066799e-06
webis-bm25,105,0.0006431896600005209
webis-bm25,106,0.08996971710860009
webis-bm25,107,0.01008072676283286
webis-bm25,108,1.20517392139425e-07
webis-bm25,109,0.003007663723294626
webis-bm25,110,0.014103830345997484
webis-bm25,111,1.0
webis-bm25,112,0.005045144232422753
webis-bm25,114,5.900362182986657e-05
webis-bm25,115,0.009195419177155353
webis-bm25,117,7.598074451148696e-14
webis-bm25,118,0.05766512330841745
webis-bm25,120,0.007419141348481502
webis-bm25,121,1.8209167240173522e-06
webis-bm25,122,0.19846242162955047
webis-bm25,127,0.005005424170932667
webis-bm25,128,0.04944361042721337
webis-bm25,129,9.016982913635166e-06
webis-bm25,131,0.0025701357964894086
webis-bm25,132,0.05426061378727524
webis-bm25,133,2.9044542419024907e-10
webis-bm25,136,0.05603398798659963
webis-bm25,137,0.2833403093719182
webis-bm25,139,0.26232988656397604
webis-bm25,140,0.08277917695507894
webis-bm25,143,0.01625729079210499
webis-bm25,144,1.0635636887692342e-08
webis-bm25,145,0.06826195472142783
webis-bm25,146,0.058683146169113944
webis-bm25,149,0.006242023975211971
webis-bm25,average,0.07648171988963738
