runid,topic,compatibility
ICTNETv1BM25,1,0.0
ICTNETv1BM25,3,0.0
ICTNETv1BM25,5,0.0
ICTNETv1BM25,6,0.0
ICTNETv1BM25,7,0.0
ICTNETv1BM25,8,0.0
ICTNETv1BM25,11,0.0
ICTNETv1BM25,12,0.0
ICTNETv1BM25,13,0.0
ICTNETv1BM25,16,0.0
ICTNETv1BM25,17,0.0
ICTNETv1BM25,18,0.0
ICTNETv1BM25,19,0.0
ICTNETv1BM25,20,0.0
ICTNETv1BM25,22,0.0
ICTNETv1BM25,27,0.0
ICTNETv1BM25,28,0.0
ICTNETv1BM25,29,0.0
ICTNETv1BM25,33,0.0
ICTNETv1BM25,34,0.0
ICTNETv1BM25,36,0.0
ICTNETv1BM25,37,0.0
ICTNETv1BM25,38,0.0
ICTNETv1BM25,39,0.0
ICTNETv1BM25,40,0.0
ICTNETv1BM25,41,0.0
ICTNETv1BM25,42,0.0
ICTNETv1BM25,44,0.0
ICTNETv1BM25,45,0.0
ICTNETv1BM25,47,0.0
ICTNETv1BM25,49,0.0
ICTNETv1BM25,50,0.0
ICTNETv1BM25,51,0.0
ICTNETv1BM25,average,0.0
