runid,topic,compatibility
IELAB01_ori_q,1,0.04573097548098686
IELAB01_ori_q,3,0.5631270695153029
IELAB01_ori_q,5,0.4328901654591526
IELAB01_ori_q,6,0.07680924597648532
IELAB01_ori_q,7,0.30002259782809604
IELAB01_ori_q,8,0.0658498425510513
IELAB01_ori_q,11,0.12464272422338411
IELAB01_ori_q,12,0.06190450187259469
IELAB01_ori_q,13,0.009205864212094296
IELAB01_ori_q,16,0.10684585759439766
IELAB01_ori_q,17,0.3527592056309996
IELAB01_ori_q,18,0.1355913384041659
IELAB01_ori_q,19,0.6657293195844526
IELAB01_ori_q,20,0.22326004928539941
IELAB01_ori_q,22,0.2594137665255535
IELAB01_ori_q,27,0.17595224667870973
IELAB01_ori_q,28,0.4268943460237981
IELAB01_ori_q,29,0.4836107884269445
IELAB01_ori_q,33,8.61272837687911e-08
IELAB01_ori_q,34,0.06754937727008369
IELAB01_ori_q,36,0.5352795696953345
IELAB01_ori_q,37,0.2021700485439979
IELAB01_ori_q,38,0.16781185123461384
IELAB01_ori_q,39,0.1723784633762215
IELAB01_ori_q,40,0.27125447628400307
IELAB01_ori_q,41,0.039056556700365924
IELAB01_ori_q,42,0.25487682757650776
IELAB01_ori_q,44,0.002694439104432393
IELAB01_ori_q,45,0.3764286784204982
IELAB01_ori_q,47,0.024210486555709895
IELAB01_ori_q,49,0.32967442910053385
IELAB01_ori_q,50,0.08157587374622353
IELAB01_ori_q,51,0.1556894435107077
IELAB01_ori_q,average,0.21790577310666928
