runid,topic,compatibility
IELAB07_xWiki_q,1,0.06537422589801796
IELAB07_xWiki_q,3,0.5631270695153029
IELAB07_xWiki_q,5,0.4328901654591526
IELAB07_xWiki_q,6,0.07680924597648532
IELAB07_xWiki_q,7,0.30002259782809604
IELAB07_xWiki_q,8,0.0658498425510513
IELAB07_xWiki_q,11,0.1032112170335555
IELAB07_xWiki_q,12,0.06190450187259469
IELAB07_xWiki_q,13,0.009204250790338096
IELAB07_xWiki_q,16,0.10684585759439766
IELAB07_xWiki_q,17,0.2883555224071021
IELAB07_xWiki_q,18,0.1355913384041659
IELAB07_xWiki_q,19,0.6657293195844526
IELAB07_xWiki_q,20,0.22326004928539941
IELAB07_xWiki_q,22,0.2594137665255535
IELAB07_xWiki_q,27,0.17595224667870973
IELAB07_xWiki_q,28,0.42800986283466147
IELAB07_xWiki_q,29,0.4836107884269445
IELAB07_xWiki_q,33,8.61272837687911e-08
IELAB07_xWiki_q,34,0.06754937727008369
IELAB07_xWiki_q,36,0.5352795696953345
IELAB07_xWiki_q,37,0.2021700485439979
IELAB07_xWiki_q,38,0.1648780019431232
IELAB07_xWiki_q,39,0.17214984905182504
IELAB07_xWiki_q,40,0.07515618185431609
IELAB07_xWiki_q,41,0.03483803603961673
IELAB07_xWiki_q,42,0.23003306683649358
IELAB07_xWiki_q,44,0.002694439104432393
IELAB07_xWiki_q,45,0.3764286784204982
IELAB07_xWiki_q,47,0.10524589663513509
IELAB07_xWiki_q,49,0.32967442910053385
IELAB07_xWiki_q,50,0.08157587374622353
IELAB07_xWiki_q,51,0.1556894435107077
IELAB07_xWiki_q,average,0.2114704498953208
