runid,topic,compatibility
IELAB08_xWiki_d,1,0.12025115148426296
IELAB08_xWiki_d,3,0.17436480104551483
IELAB08_xWiki_d,5,0.0
IELAB08_xWiki_d,6,0.40735423533316856
IELAB08_xWiki_d,7,0.015603573386679679
IELAB08_xWiki_d,8,7.987234894294483e-14
IELAB08_xWiki_d,11,1.2102349027342298e-11
IELAB08_xWiki_d,12,0.2838685669709765
IELAB08_xWiki_d,13,0.24821802668396523
IELAB08_xWiki_d,16,0.35008841896971193
IELAB08_xWiki_d,17,0.13878706714697042
IELAB08_xWiki_d,18,0.011985768163231644
IELAB08_xWiki_d,20,3.169532150176862e-20
IELAB08_xWiki_d,22,0.19721234094470597
IELAB08_xWiki_d,28,0.016846881021152667
IELAB08_xWiki_d,29,8.218005685777371e-08
IELAB08_xWiki_d,32,0.3953258080718119
IELAB08_xWiki_d,33,0.365123856489164
IELAB08_xWiki_d,37,0.0038205271110685994
IELAB08_xWiki_d,38,0.13873724625287873
IELAB08_xWiki_d,40,0.44494535816222275
IELAB08_xWiki_d,41,0.04922546469640434
IELAB08_xWiki_d,42,0.004166917121258265
IELAB08_xWiki_d,44,0.1524975328659698
IELAB08_xWiki_d,45,0.25792900596830615
IELAB08_xWiki_d,47,0.047754163305699336
IELAB08_xWiki_d,49,0.032732538949323244
IELAB08_xWiki_d,50,2.7258363919644967e-08
IELAB08_xWiki_d,51,1.6717914980725408e-14
IELAB08_xWiki_d,average,0.13299446067569198
