runid,topic,compatibility
IELAB08_xWiki_d,1,0.1942944695400239
IELAB08_xWiki_d,3,0.5794492452753929
IELAB08_xWiki_d,5,0.37793448640360805
IELAB08_xWiki_d,6,0.08264826688533639
IELAB08_xWiki_d,7,0.315090038172483
IELAB08_xWiki_d,8,0.07064738766532765
IELAB08_xWiki_d,11,0.16082462525043723
IELAB08_xWiki_d,12,0.20026222889913584
IELAB08_xWiki_d,13,0.019208336931816346
IELAB08_xWiki_d,16,0.1762708572636086
IELAB08_xWiki_d,17,0.05390124604366801
IELAB08_xWiki_d,18,0.10944074918506984
IELAB08_xWiki_d,19,0.3660724111676887
IELAB08_xWiki_d,20,0.07707472481833876
IELAB08_xWiki_d,22,0.1412867670418762
IELAB08_xWiki_d,27,0.042188676842032674
IELAB08_xWiki_d,28,0.4752137316762127
IELAB08_xWiki_d,29,0.3522455040752982
IELAB08_xWiki_d,33,1.978751863585311e-09
IELAB08_xWiki_d,34,0.06538283147209144
IELAB08_xWiki_d,36,0.0033450835082203573
IELAB08_xWiki_d,37,0.21128530148971444
IELAB08_xWiki_d,38,0.04386409361541602
IELAB08_xWiki_d,39,0.16247835000486185
IELAB08_xWiki_d,40,0.25179178238857597
IELAB08_xWiki_d,41,0.14512774634994235
IELAB08_xWiki_d,42,0.0020848075178466793
IELAB08_xWiki_d,44,0.0007279814134178059
IELAB08_xWiki_d,45,0.31842877763600363
IELAB08_xWiki_d,47,0.0
IELAB08_xWiki_d,49,0.3340643614408307
IELAB08_xWiki_d,50,0.14866331297949387
IELAB08_xWiki_d,51,1.478661530419903e-07
IELAB08_xWiki_d,average,0.16609994947874768
