runid,topic,compatibility
UWatMDSBM25_HC1,1,0.13677984032144586
UWatMDSBM25_HC1,3,0.4435401222468455
UWatMDSBM25_HC1,5,0.5885886922710664
UWatMDSBM25_HC1,6,0.08982155783013286
UWatMDSBM25_HC1,7,0.22602912905539055
UWatMDSBM25_HC1,8,0.44134552243767644
UWatMDSBM25_HC1,11,0.6049911871694781
UWatMDSBM25_HC1,12,0.6093442264807067
UWatMDSBM25_HC1,13,0.09586534523201205
UWatMDSBM25_HC1,16,0.0635512769491225
UWatMDSBM25_HC1,17,0.2302420292033566
UWatMDSBM25_HC1,18,0.1540191920674921
UWatMDSBM25_HC1,19,0.8720942796073138
UWatMDSBM25_HC1,20,0.16569625517532227
UWatMDSBM25_HC1,22,0.046240420818967155
UWatMDSBM25_HC1,27,0.16098173223220574
UWatMDSBM25_HC1,28,0.2959791377261749
UWatMDSBM25_HC1,29,0.2922618070641576
UWatMDSBM25_HC1,33,0.01931911746121795
UWatMDSBM25_HC1,34,0.3437639628209706
UWatMDSBM25_HC1,36,0.10989407108765929
UWatMDSBM25_HC1,37,0.2191648622695838
UWatMDSBM25_HC1,38,0.008040656974917093
UWatMDSBM25_HC1,39,0.15369284519293278
UWatMDSBM25_HC1,40,0.31455780739048267
UWatMDSBM25_HC1,41,0.5784728941909508
UWatMDSBM25_HC1,42,0.3621867774339392
UWatMDSBM25_HC1,44,0.0331036297787934
UWatMDSBM25_HC1,45,0.28143318663484307
UWatMDSBM25_HC1,47,0.2528731687217082
UWatMDSBM25_HC1,49,0.3121357225085621
UWatMDSBM25_HC1,50,0.21693383901751262
UWatMDSBM25_HC1,51,0.27464209823762004
UWatMDSBM25_HC1,average,0.27265413313971404
