runid,topic,compatibility
UWatMDSBM25_HC2,1,0.32464873955642376
UWatMDSBM25_HC2,3,0.1877306390655357
UWatMDSBM25_HC2,5,0.0004317974002906216
UWatMDSBM25_HC2,6,0.5433331700510619
UWatMDSBM25_HC2,7,0.14041773022666287
UWatMDSBM25_HC2,8,9.769730170042412e-05
UWatMDSBM25_HC2,11,1.5156119749538118e-10
UWatMDSBM25_HC2,12,0.03562057702193153
UWatMDSBM25_HC2,13,0.6275228650429264
UWatMDSBM25_HC2,16,0.3637871667462561
UWatMDSBM25_HC2,17,0.19888356561068207
UWatMDSBM25_HC2,18,0.2025693617891122
UWatMDSBM25_HC2,20,0.0015673772016145597
UWatMDSBM25_HC2,22,0.08788853953685782
UWatMDSBM25_HC2,28,0.042511678625885035
UWatMDSBM25_HC2,29,0.0062508329984032355
UWatMDSBM25_HC2,32,0.4444724753144724
UWatMDSBM25_HC2,33,0.3571362113770894
UWatMDSBM25_HC2,37,8.195529158014586e-05
UWatMDSBM25_HC2,38,0.3162031006522976
UWatMDSBM25_HC2,40,0.631343549186673
UWatMDSBM25_HC2,41,0.008823132049821691
UWatMDSBM25_HC2,42,0.46958951280815003
UWatMDSBM25_HC2,44,0.3400916247665199
UWatMDSBM25_HC2,45,0.06624737406151558
UWatMDSBM25_HC2,47,0.3622489937997357
UWatMDSBM25_HC2,49,0.0
UWatMDSBM25_HC2,50,0.031117950543782635
UWatMDSBM25_HC2,51,0.07455742407784463
UWatMDSBM25_HC2,average,0.20224741525022025
