runid,topic,compatibility
UWatMDS_BM25_ZS,1,0.42855371791469027
UWatMDS_BM25_ZS,3,0.0639925219701861
UWatMDS_BM25_ZS,5,4.928151633375323e-07
UWatMDS_BM25_ZS,6,0.36307396137332104
UWatMDS_BM25_ZS,7,0.4532047586714861
UWatMDS_BM25_ZS,8,0.2763239389216527
UWatMDS_BM25_ZS,11,0.05241182819010998
UWatMDS_BM25_ZS,12,0.012404954205618662
UWatMDS_BM25_ZS,13,0.9328940370645525
UWatMDS_BM25_ZS,16,0.2441347565293858
UWatMDS_BM25_ZS,17,0.0494299298157775
UWatMDS_BM25_ZS,18,0.36558882901969286
UWatMDS_BM25_ZS,20,5.714411626662518e-12
UWatMDS_BM25_ZS,22,0.1234086696149888
UWatMDS_BM25_ZS,28,0.03410479405995284
UWatMDS_BM25_ZS,29,5.33193084703512e-05
UWatMDS_BM25_ZS,32,0.4813126743720842
UWatMDS_BM25_ZS,33,0.3722574807226139
UWatMDS_BM25_ZS,37,5.508388882419595e-07
UWatMDS_BM25_ZS,38,0.16134247119242248
UWatMDS_BM25_ZS,40,0.3077349492543711
UWatMDS_BM25_ZS,41,0.07408431716873899
UWatMDS_BM25_ZS,42,0.5970191390211789
UWatMDS_BM25_ZS,44,0.49379196965460564
UWatMDS_BM25_ZS,45,2.3161211896258826e-06
UWatMDS_BM25_ZS,47,0.20243695109677495
UWatMDS_BM25_ZS,49,0.02096598960997636
UWatMDS_BM25_ZS,50,6.878032435510694e-11
UWatMDS_BM25_ZS,51,0.30044698770990264
UWatMDS_BM25_ZS,average,0.22106814849352727
