runid,topic,compatibility
UWatMDS_BMZBS10,1,0.4427460769325504
UWatMDS_BMZBS10,3,0.05702032845610959
UWatMDS_BMZBS10,5,2.035367281763114e-09
UWatMDS_BMZBS10,6,0.3615766647207193
UWatMDS_BMZBS10,7,0.45758195143568514
UWatMDS_BMZBS10,8,0.3688794403100421
UWatMDS_BMZBS10,11,0.009681098350221233
UWatMDS_BMZBS10,12,0.004665665093058945
UWatMDS_BMZBS10,13,0.9329739182934264
UWatMDS_BMZBS10,16,0.22961663864088896
UWatMDS_BMZBS10,17,0.0566627402901484
UWatMDS_BMZBS10,18,0.3654891240813093
UWatMDS_BMZBS10,20,2.066393150795027e-21
UWatMDS_BMZBS10,22,0.08339546669253863
UWatMDS_BMZBS10,28,0.03268775540422018
UWatMDS_BMZBS10,29,1.7780649165335533e-05
UWatMDS_BMZBS10,32,0.5364885949902823
UWatMDS_BMZBS10,33,0.4192153937588605
UWatMDS_BMZBS10,37,5.396722709958441e-08
UWatMDS_BMZBS10,38,0.08654867499362649
UWatMDS_BMZBS10,40,0.25676030948806866
UWatMDS_BMZBS10,41,0.034018538033409165
UWatMDS_BMZBS10,42,0.5751066198522155
UWatMDS_BMZBS10,44,0.5166791460822842
UWatMDS_BMZBS10,45,5.74872054116486e-08
UWatMDS_BMZBS10,47,0.17695205333657035
UWatMDS_BMZBS10,49,0.024266398015239596
UWatMDS_BMZBS10,50,2.62043758675283e-16
UWatMDS_BMZBS10,51,0.2705765536037722
UWatMDS_BMZBS10,average,0.2172278291377315
