runid,topic,compatibility
webisMAll1,1,0.2315525022056039
webisMAll1,3,0.0074714316103084155
webisMAll1,5,0.0
webisMAll1,6,0.12082249736344039
webisMAll1,7,1.0542531649422594e-07
webisMAll1,8,0.10456680171256622
webisMAll1,11,0.0
webisMAll1,12,0.06908571805377012
webisMAll1,13,0.1009550439549351
webisMAll1,16,0.10454669620241144
webisMAll1,17,0.0011029497206928468
webisMAll1,18,0.027594367397839468
webisMAll1,20,0.0
webisMAll1,22,8.109842125093834e-20
webisMAll1,28,0.3162736267125193
webisMAll1,29,0.0031180777061450126
webisMAll1,32,0.13771496990284166
webisMAll1,33,0.08630880605087829
webisMAll1,37,3.542106490490544e-11
webisMAll1,38,0.0019025404723673242
webisMAll1,40,0.14858692661938416
webisMAll1,41,0.002795077305135928
webisMAll1,42,0.3827686181507543
webisMAll1,44,0.18386113995862666
webisMAll1,45,1.3354918347483285e-14
webisMAll1,47,0.0001682283723529817
webisMAll1,49,6.237117681154857e-17
webisMAll1,50,1.9077667354596103e-16
webisMAll1,51,0.16788489715945412
webisMAll1,average,0.07583038007216479
