runid,topic,compatibility
webisMAll1,1,0.12008132103636891
webisMAll1,3,0.006240795577433787
webisMAll1,5,0.021769333639710488
webisMAll1,6,0.539470615571194
webisMAll1,7,0.08224073136799571
webisMAll1,8,0.23541635939220995
webisMAll1,11,0.3321464643902822
webisMAll1,12,0.29506156031154895
webisMAll1,13,0.03565733234258946
webisMAll1,16,0.08432105899125288
webisMAll1,17,0.02830256817267604
webisMAll1,18,0.001130444220037414
webisMAll1,19,0.5043583141180429
webisMAll1,20,0.3665295633992151
webisMAll1,22,4.525008785117049e-06
webisMAll1,27,1.8920609024223094e-05
webisMAll1,28,0.20252138815711682
webisMAll1,29,0.15066391653438235
webisMAll1,33,0.08924804709386229
webisMAll1,34,0.11653169924498892
webisMAll1,36,0.508827064706501
webisMAll1,37,0.10501978262183728
webisMAll1,38,0.1703118117777347
webisMAll1,39,0.041854545720101444
webisMAll1,40,0.3162128209835899
webisMAll1,41,0.07769540304680167
webisMAll1,42,0.15169030835658928
webisMAll1,44,0.0017800021257839567
webisMAll1,45,0.31262195853043273
webisMAll1,47,0.0003439225941070777
webisMAll1,49,0.03662665477378925
webisMAll1,50,0.04718005693874999
webisMAll1,51,0.07845930050619555
webisMAll1,average,0.15334359369275546
