runid,topic,compatibility
webisMMajority1,1,0.11663009008944257
webisMMajority1,3,0.0071727427736764885
webisMMajority1,5,0.01757513992231004
webisMMajority1,6,0.45819794020099364
webisMMajority1,7,0.06300561380142172
webisMMajority1,8,0.23093831323970362
webisMMajority1,11,0.2672753608031032
webisMMajority1,12,0.3114558100227486
webisMMajority1,13,0.031522795375911426
webisMMajority1,16,0.09795759469702758
webisMMajority1,17,0.028430327366959066
webisMMajority1,18,0.001130444220037414
webisMMajority1,19,0.5040203856957937
webisMMajority1,20,0.3408306867181794
webisMMajority1,22,4.525008785117049e-06
webisMMajority1,27,1.8920609024223094e-05
webisMMajority1,28,0.21359139905275934
webisMMajority1,29,0.15086127010588113
webisMMajority1,33,0.08890496921690226
webisMMajority1,34,0.09928968313536374
webisMMajority1,36,0.5186584754512554
webisMMajority1,37,0.1149862056437215
webisMMajority1,38,0.11835054921517026
webisMMajority1,39,0.05119065117738171
webisMMajority1,40,0.23682406036296255
webisMMajority1,41,0.0632735091416246
webisMMajority1,42,0.13946564376084522
webisMMajority1,44,0.0017800021257839567
webisMMajority1,45,0.306414347677906
webisMMajority1,47,0.0003439225941070777
webisMMajority1,49,0.037688626108129085
webisMMajority1,50,0.047609228763456295
webisMMajority1,51,0.08329790785416036
webisMMajority1,average,0.1438999133918948
