runid,topic,compatibility
webisMSame2,1,0.10205810470281203
webisMSame2,3,0.01758229206053446
webisMSame2,5,0.008451879913327505
webisMSame2,6,0.17674847896429746
webisMSame2,7,0.007870961768074074
webisMSame2,8,0.10447983730821325
webisMSame2,11,0.23213784681041968
webisMSame2,12,0.1688549091962818
webisMSame2,13,0.005618863465391843
webisMSame2,16,0.11950233664226492
webisMSame2,17,0.04847900424867642
webisMSame2,18,0.021566358367361843
webisMSame2,19,0.2305518006603628
webisMSame2,20,0.011868466454457834
webisMSame2,22,4.525008785117049e-06
webisMSame2,27,1.8920609024223094e-05
webisMSame2,28,0.30145992672774813
webisMSame2,29,0.10492503292095105
webisMSame2,33,0.02112449074515125
webisMSame2,34,0.06935630535152855
webisMSame2,36,0.2768590393845375
webisMSame2,37,0.17366235070605954
webisMSame2,38,0.0060697627817911225
webisMSame2,39,0.03558712861786266
webisMSame2,40,0.13878096542872725
webisMSame2,41,0.13112124172850628
webisMSame2,42,0.07908797737506072
webisMSame2,44,0.01735492884546431
webisMSame2,45,0.006256630487825522
webisMSame2,47,0.0003439225941070777
webisMSame2,49,0.05590289808223143
webisMSame2,50,0.04248126637389054
webisMSame2,51,0.00502874666438802
webisMSame2,average,0.08246052124230656
