runid,topic,compatibility
webisMSame3,1,0.07338263492355367
webisMSame3,3,0.00896969966411032
webisMSame3,5,0.0
webisMSame3,6,0.08846642061819272
webisMSame3,7,1.0542531649422594e-07
webisMSame3,8,0.0261278937115141
webisMSame3,11,0.0
webisMSame3,12,0.04971143438548232
webisMSame3,13,0.12775485915013432
webisMSame3,16,0.09479380893291656
webisMSame3,17,0.02109499010055194
webisMSame3,18,0.0022802190495998303
webisMSame3,20,0.0
webisMSame3,22,8.109842125093834e-20
webisMSame3,28,0.3162736267125193
webisMSame3,29,0.0016166526198081517
webisMSame3,32,0.01870748289160075
webisMSame3,33,0.29868074364182273
webisMSame3,37,3.542106490490544e-11
webisMSame3,38,0.027076455638250754
webisMSame3,40,0.14544355248938196
webisMSame3,41,0.047086262616170424
webisMSame3,42,0.10525161141706905
webisMSame3,44,0.04933681956327036
webisMSame3,45,1.3354918347483285e-14
webisMSame3,47,0.0001682283723529817
webisMSame3,49,6.237117681154857e-17
webisMSame3,50,1.9077667354596103e-16
webisMSame3,51,0.003136212775478309
webisMSame3,average,0.05190895568050109
