runid,topic,compatibility
webisTAll1,1,0.11920309462673846
webisTAll1,3,0.006240795577433787
webisTAll1,5,0.015647309682554678
webisTAll1,6,0.539470615571194
webisTAll1,7,0.08224073136799571
webisTAll1,8,0.23541635939220995
webisTAll1,11,0.33314551314199176
webisTAll1,12,0.2999091741031661
webisTAll1,13,0.03889868617744654
webisTAll1,16,0.08432105899125288
webisTAll1,17,0.02856793824941814
webisTAll1,18,0.001130444220037414
webisTAll1,19,0.5043583141180429
webisTAll1,20,0.3665295633992151
webisTAll1,22,4.525008785117049e-06
webisTAll1,27,1.8920609024223094e-05
webisTAll1,28,0.1822132120919094
webisTAll1,29,0.15066391653438235
webisTAll1,33,0.08924804709386229
webisTAll1,34,0.10580181097929105
webisTAll1,36,0.508827064706501
webisTAll1,37,0.10650588256963474
webisTAll1,38,0.17126129382791994
webisTAll1,39,0.04261251312064725
webisTAll1,40,0.31042989181040886
webisTAll1,41,0.07905958333519865
webisTAll1,42,0.15169030835658928
webisTAll1,44,0.0017800021257839567
webisTAll1,45,0.31262195853043273
webisTAll1,47,0.0003439225941070777
webisTAll1,49,0.03662665477378925
webisTAll1,50,0.04718005693874999
webisTAll1,51,0.07845930050619555
webisTAll1,average,0.15243722618581543
